Word Error Rate = 10.052616313455513
Known WER = 8.358903128677944
Unknown WER = 84.34602579034213
	NN	NNS	JJ	PDT	IN	VB	WDT	JJS	PRP	VBP	RB	VBN	VBG	RP	UH	NNP	VBD	RBR	NNPS	LS	POS	VBZ	PRP$	CD	JJR	DT	FW	CC	EX	RBS	WP	MD	SYM	$	NPS	TO	,
JJR|RBR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MD|VB	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
,	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
NNS|NN	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|VBN	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
$	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IN|JJ	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBN|JJ	0	0	0.0	0	0	0.0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LS	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.00	0	0	0	0
``	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|IN	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRP$	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYM	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.00	0	0.0	0	0	0	0	0	0	0	0	0
VBG|NN	0.0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDT	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
RB|JJ	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|NNP	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VB|NN	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBS|JJS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
NN|JJ	0.0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IN|RB	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|NNS	0.0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|IN	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VB|IN	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBD|VBN	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBP|VB	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|DT	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG|NN|JJ	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WRB	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP	0.00	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|RP	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBD|VBP	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|NN	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|RB	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS|NNPS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBP|VBD	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|JJR	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|VBG	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS|VBZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|CD	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|POS	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
------------------------
Word Error Rate = 9.896525851194404
Known WER = 8.358903128677944
Unknown WER = 77.34326133218082
	NN	NNS	JJ	PDT	IN	VB	WDT	JJS	PRP	VBP	RB	VBN	NNP	VBG	RP	UH	VBD	RBR	NNPS	LS	POS	VBZ	PRP$	RBS	CD	JJR	DT	FW	CC	EX	WP	MD	SYM	$	NPS	TO	,
NNP	5.27	0.10	1.29	0.0	0.03	0.03	0	0.03	0.00	0.02	0.07	0.14	0	0.08	0.02	0.00	0.00	0.00	2.37	0.40	0.00	0.00	0.00	0.00	0.03	0.02	0.08	0.19	0.00	0	0	0.00	0	0.00	0	0	0.0
VBZ	0.31	0.81	0	0	0	0	0	0	0	0.0	0	0	0.01	0	0	0	0	0	0.02	0	1.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN	0	0.35	3.58	0.13	0.03	7.81	0	0.00	0.00	1.86	0.25	0.26	1.51	4.87	0.03	0.09	0.04	0.0	0.01	0.03	0	0.00	0	0.00	0.13	0.00	0.00	0.23	0.00	0	0	0.03	0.00	0	0	0.0	0
RP	0	0	0.0	0	0.18	0.0	0	0	0	0	0.00	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBP	0.38	0	0.04	0	0.02	2.46	0	0	0.0	0	0.0	0.04	0.00	0.0	0.0	0.0	0.00	0	0.0	0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0	0	0	0
IN	0.00	0	0.16	0	0	0.0	5.15	0.0	0	0.0	2.01	0.0	0.00	0.0	3.30	0	0	0	0	0	0	0	0	0	0	0	0.02	0.13	0.01	0	0	0	0	0	0	0.0	0
JJ	4.47	0.05	0	1.01	0.05	0.48	0	0.00	0.00	0.03	1.23	1.66	0.76	0.88	0.06	0.00	0.17	0.13	0.45	0.61	0	0	0.0	0.01	0.00	0.01	0.0	0.01	0.0	0	0	0	0	0	0	0.0	0
NNS	1.75	0	0.01	0	0	0	0	0	0	0	0	0.01	0.15	0.0	0	0	0.0	0	1.31	0	0.0	1.38	0	0	0.09	0	0	0.0	0	0	0	0	0	0	0.00	0	0
VB	1.63	0.0	0.19	0	0.05	0	0	0	0	3.75	0.00	0.24	0.04	0.0	0.00	0.00	0.01	0.0	0.0	0	0	0	0	0.0	0.0	0.02	0.0	0	0	0	0	0	0	0	0	0	0
RB	0.13	0.0	0.73	0.08	1.13	0.08	0.01	0.01	0	0.0	0	0.00	0.02	0.0	1.95	0.60	0.0	0.40	0.0	0.06	0	0	0	0.0	0.0	0.02	0.02	0.0	0.07	0.14	0	0	0	0	0	0	0
DT	0.0	0	0.01	1.47	0	0	1.20	0	0.0	0	0.0	0	0.0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0.00	0.07	0	0	0	0	0	0	0	0
VBD	0.32	0	0.01	0	0	0.16	0	0	0	0.0	0	6.23	0.02	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0
CD	0.02	0.01	0.01	0.0	0	0	0	0	0.0	0	0.0	0.00	3.02	0	0	0	0	0	0	1.64	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
NNPS	0.0	0.05	0.00	0	0	0	0	0	0	0	0	0.0	0.06	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
VBN	0.55	0.0	0.15	0	0	0.30	0	0	0	0.0	0	0	0.01	0	0	0	2.85	0.00	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
JJR	0.05	0	0.00	0	0	0	0	0	0	0	0.0	0	0.00	0.0	0	0	0	1.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRP	0.00	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0.0	0	0.00	0.0	0.10	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0
RBR	0.00	0	0	0	0.0	0	0	0	0	0	0.00	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.20	0	0	0	0	0	0	0	0	0	0	0
