Word Error Rate = 10.619269434078142
Known WER = 8.372164251360308
Unknown WER = 83.97503929629245
	NNS	JJ	RB	NN	VB	UH	WDT	RBS	VBP	JJR	POS	NNP	PDT	RBR	NNPS	IN	VBD	VBZ	LS	VBN	VBG	RP	CD	EX	JJS	PRP	CC	FW	DT	PRP$	SYM	MD	WP	TO	NPS	$	,
JJ|VBN	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS|VBZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
------------------------
Word Error Rate = 4.982218615801105
Known WER = 3.7603386644965795
Unknown WER = 44.8725208439477
	JJ	NNS	VBP	UH	NNP	IN	RB	NN	JJR	NNPS	VBD	VBG	VBN	VB	CD	RP	RBS	WDT	PRP	DT	VBZ	PDT	RBR	JJS	POS	CC	SYM	PRP$	''	EX	FW	WP	TO	NPS	MD	LS	:	,
NN	6.77	0.77	0.21	0.02	5.92	0.01	0.15	0	0.0	0.0	0.09	1.27	0.20	0.52	0.38	0.00	0	0.0	0.05	0.00	0.04	0.00	0.0	0.0	0	0.0	0.0	0	0	0	0.10	0	0.0	0.00	0.01	0.00	0	0.0
VBZ	0.15	1.13	0.07	0.0	0.33	0	0.0	0.18	0	0.0	0.26	0.06	0.02	0.05	0.03	0	0	0	0	0	0	0	0	0	0.19	0	0.0	0	0	0	0.00	0	0	0.0	0	0.0	0	0
VBN	2.75	0.03	0.01	0.00	0.42	0	0.00	0.40	0	0	2.89	0.12	0	0.14	0.09	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0.00	0	0	0.00	0	0.0	0	0
VB	0.24	0.0	1.61	0.00	0.31	0.01	0.03	0.85	0.02	0	0.11	0.06	0.16	0	0.18	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0.00	0	0	0.0	0.0	0	0	0
RB	1.47	0.02	0.04	0.05	0.57	2.94	0	0.63	0.04	0	0.00	0.02	0.14	0.08	0.03	1.54	0.0	0.0	0	0.18	0.00	0.02	0.38	0.00	0	0.05	0	0	0	0.07	0.00	0	0	0.00	0	0.0	0	0
VBG	1.41	0.00	0.05	0.00	0.49	0	0.0	1.94	0	0	0.05	0	0.24	0.11	0.11	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.00	0	0	0.0	0	0.0	0	0
DT	0.02	0.0	0.0	0.0	0.01	0.62	0.38	0.06	0	0	0	0.0	0	0	0	0	0	0.49	0.0	0	0	0.27	0	0	0	0.09	0	0	0	0	0.00	0	0	0	0	0.0	0	0
UH	0.00	0	0.0	0	0.03	0	0.03	0.01	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0
NNS	0.85	0	0.02	0.00	2.58	0	0.05	2.89	0	0.42	0.02	0.01	0.18	0.04	0.16	0	0	0	0	0	0.65	0	0	0	0.0	0	0	0	0	0	0.03	0	0	0.00	0	0.00	0	0
RP	0.0	0	0	0	0.0	0.63	0.36	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ	0	0.11	0.06	0.04	3.37	0.12	1.37	2.96	0.01	0.0	0.10	0.42	1.83	0.25	0.62	0.04	0	0	0.00	0.01	0.00	0.12	0.00	0.00	0	0.0	0	0.0	0	0	0.08	0	0.0	0.01	0	0.00	0	0
NNP	2.96	0.33	0.02	0.02	0	0.04	0.09	2.15	0.0	1.83	0.03	0.03	0.10	0.09	0.34	0.0	0.0	0	0.00	0.13	0.02	0	0.0	0.00	0.00	0.00	0.0	0.00	0	0	0.33	0	0	0.00	0.0	0.03	0	0.0
VBP	0.09	0.00	0	0	0.14	0.00	0.00	0.75	0.0	0.0	0.18	0.01	0.08	2.06	0.00	0.0	0	0	0.0	0.0	0.01	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0	0
WDT	0.00	0	0	0	0.00	0.39	0.0	0	0	0	0.0	0	0	0.0	0.0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0
VBD	0.20	0.00	0.13	0.00	0.34	0.0	0.0	0.25	0	0	0	0.07	3.87	0.15	0.01	0	0	0	0	0	0.04	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.00	0	0	0
IN	0.18	0.0	0.00	0	0.06	0	2.47	0.00	0	0	0.00	0.02	0	0.00	0.0	2.01	0	0.19	0	0.52	0.0	0	0	0	0	0.04	0.0	0	0	0	0.05	0	0.0	0	0	0.0	0	0
JJS	0.09	0.0	0.0	0	0.00	0	0.0	0.02	0.0	0	0.0	0	0.0	0	0.0	0	0.20	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD	1.80	0.22	0.00	0	1.00	0	0.0	0.53	0	0	0.0	0.04	0.07	0.16	0	0	0	0	0.05	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0.02	0	0
CC	0.0	0.00	0.0	0	0.00	0.02	0.09	0.00	0.00	0	0	0.0	0	0	0.0	0	0	0	0	0.06	0	0.02	0.01	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
RBR	0.01	0.0	0.0	0	0.00	0.0	0.21	0.0	0.87	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
JJR	0.12	0.0	0.0	0	0.04	0	0.01	0.01	0	0	0	0	0.01	0.0	0.00	0	0	0	0	0	0	0	0.71	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0	0
POS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.17	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0
''	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0.0	0
PRP	0.00	0.0	0.0	0	0.02	0	0	0.03	0	0	0	0.0	0	0	0.01	0	0	0	0	0.00	0.00	0	0	0	0.00	0	0	0.08	0	0	0.0	0	0	0	0	0.0	0	0
SYM	0.0	0	0.0	0	0.00	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.00	0	0
FW	0.02	0.0	0.0	0.00	0.11	0.01	0.0	0.03	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0.00	0.0	0	0	0	0	0.00	0.0	0	0	0	0	0	0	0	0	0	0	0
LS	0.0	0	0	0	0.00	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0
RBS	0	0	0	0	0.0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MD	0.0	0.0	0.00	0	0.03	0	0.0	0.0	0	0	0.00	0.00	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
NNPS	0.10	0.38	0.0	0.0	1.41	0	0.0	0.16	0	0	0.0	0	0.00	0.0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0
EX	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP	0.0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDT	0.0	0	0	0	0	0	0.00	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
RBS|JJS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBN|VBD	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG|NN	0.0	0	0	0	0	0	0	0.01	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS|NNPS	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|JJ	0.00	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG|JJ	0.00	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IN|RB	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBN|JJ	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|NNS	0.0	0.00	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WRB	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
PRP$	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|IN	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBR|JJR	0	0	0	0	0.0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJR|RBR	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|JJ	0.0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MD|VB	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|NN	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
:	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
,	0.0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
NNS|NN	0	0.0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IN|JJ	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBD|VBP	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBD|VBN	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VB|NN	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG|NN|JJ	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
``	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|IN	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBP|VB	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBP|VBD	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|RP	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|RB	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNPS|NNS	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
$	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP$	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
.	0	0	0	0	0.00	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|POS	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|JJR	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
)	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VB|IN	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TO	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|VBG	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|NNP	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|CD	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|VBN	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS|VBZ	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
------------------------
Word Error Rate = 4.996788673735971
Known WER = 3.774889891705699
Unknown WER = 44.88767828708304
	JJ	NNS	VBP	UH	NNP	IN	RB	NN	JJR	NNPS	VBD	VBG	VBN	VB	CD	RP	RBS	WDT	PRP	DT	VBZ	PDT	RBR	JJS	POS	CC	SYM	PRP$	''	EX	FW	WP	TO	NPS	MD	LS	:	,
NN	6.75	0.77	0.21	0.02	5.91	0.01	0.15	0	0.0	0.0	0.09	1.26	0.20	0.52	0.38	0.00	0	0.0	0.05	0.00	0.04	0.00	0.0	0.0	0	0.0	0.0	0	0	0	0.10	0	0.0	0.00	0.01	0.00	0	0.0
VBZ	0.15	1.13	0.07	0.0	0.33	0	0.0	0.18	0	0.0	0.26	0.06	0.02	0.05	0.03	0	0	0	0	0	0	0	0	0	0.19	0	0.0	0	0	0	0.00	0	0	0.0	0	0.0	0	0
VBN	2.74	0.03	0.01	0.00	0.42	0	0.00	0.40	0	0	2.88	0.12	0	0.14	0.09	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0.00	0	0	0.00	0	0.0	0	0
VB	0.24	0.0	1.61	0.00	0.31	0.01	0.03	0.84	0.02	0	0.11	0.06	0.16	0	0.17	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0.00	0	0	0.0	0.0	0	0	0
RB	1.47	0.02	0.04	0.05	0.57	2.93	0	0.63	0.04	0	0.00	0.02	0.14	0.08	0.03	1.54	0.0	0.0	0	0.18	0.00	0.02	0.38	0.00	0	0.05	0	0	0	0.07	0.00	0	0	0.00	0	0.0	0	0
VBG	1.40	0.00	0.05	0.00	0.49	0	0.0	1.93	0	0	0.05	0	0.24	0.11	0.11	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.00	0	0	0.0	0	0.0	0	0
DT	0.02	0.0	0.0	0.0	0.01	0.62	0.37	0.06	0	0	0	0.0	0	0	0	0	0	0.49	0.0	0	0	0.27	0	0	0	0.09	0	0	0	0	0.00	0	0	0	0	0.0	0	0
UH	0.00	0	0.0	0	0.03	0	0.03	0.01	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0
NNS	0.85	0	0.02	0.00	2.57	0	0.05	2.89	0	0.42	0.02	0.01	0.18	0.04	0.16	0	0	0	0	0	0.65	0	0	0	0.0	0	0	0	0	0	0.03	0	0	0.00	0	0.00	0	0
RP	0.0	0	0	0	0.0	0.63	0.36	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ	0	0.11	0.06	0.04	3.36	0.12	1.36	2.95	0.01	0.0	0.10	0.42	1.83	0.25	0.62	0.04	0	0	0.00	0.01	0.00	0.12	0.00	0.00	0	0.0	0	0.0	0	0	0.08	0	0.0	0.01	0	0.00	0	0
NNP	2.96	0.33	0.02	0.02	0	0.04	0.09	2.14	0.0	1.82	0.03	0.03	0.10	0.09	0.34	0.0	0.0	0	0.00	0.13	0.02	0	0.0	0.00	0.00	0.00	0.0	0.00	0	0	0.33	0	0	0.00	0.0	0.03	0	0.0
VBP	0.09	0.00	0	0	0.14	0.00	0.00	0.75	0.0	0.0	0.18	0.01	0.08	2.05	0.00	0.0	0	0	0.0	0.0	0.01	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0	0
WDT	0.00	0	0	0	0.00	0.39	0.0	0	0	0	0.0	0	0	0.0	0.0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0
VBD	0.20	0.00	0.13	0.00	0.34	0.0	0.0	0.25	0	0	0	0.07	3.85	0.15	0.01	0	0	0	0	0	0.04	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.00	0	0	0
IN	0.18	0.0	0.00	0	0.06	0	2.47	0.00	0	0	0.00	0.02	0	0.00	0.0	2.00	0	0.19	0	0.52	0.0	0	0	0	0	0.04	0.0	0	0	0	0.05	0	0.0	0	0	0.0	0	0
JJS	0.09	0.0	0.0	0	0.00	0	0.0	0.02	0.0	0	0.0	0	0.0	0	0.0	0	0.20	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD	1.80	0.22	0.00	0	1.01	0	0.0	0.52	0	0	0.0	0.04	0.07	0.16	0	0	0	0	0.05	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0.02	0	0
CC	0.0	0.00	0.0	0	0.00	0.02	0.09	0.00	0.00	0	0	0.0	0	0	0.0	0	0	0	0	0.06	0	0.02	0.01	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
RBR	0.01	0.0	0.0	0	0.00	0.0	0.21	0.0	0.87	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
JJR	0.12	0.0	0.0	0	0.04	0	0.01	0.01	0	0	0	0	0.01	0.0	0.00	0	0	0	0	0	0	0	0.71	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0	0
POS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.17	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0
''	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0.0	0
PRP	0.00	0.0	0.0	0	0.02	0	0	0.03	0	0	0	0.0	0	0	0.01	0	0	0	0	0.00	0.00	0	0	0	0.00	0	0	0.08	0	0	0.0	0	0	0	0	0.0	0	0
SYM	0.0	0	0.0	0	0.00	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.00	0	0
FW	0.02	0.0	0.0	0.00	0.11	0.01	0.0	0.03	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0.00	0.0	0	0	0	0	0.00	0.0	0	0	0	0	0	0	0	0	0	0	0
LS	0.0	0	0	0	0.00	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0
RBS	0	0	0	0	0.0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MD	0.0	0.0	0.00	0	0.03	0	0.0	0.0	0	0	0.00	0.00	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
NNPS	0.10	0.38	0.0	0.0	1.41	0	0.0	0.16	0	0	0.0	0	0.00	0.0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0
#	0	0	0	0	0.00	0	0	0	0	0	0.0	0	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EX	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP	0.0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDT	0.0	0	0	0	0	0	0.00	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
RBS|JJS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBN|VBD	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG|NN	0.0	0	0	0	0	0	0	0.01	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS|NNPS	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|JJ	0.00	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG|JJ	0.00	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IN|RB	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBN|JJ	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|NNS	0.0	0.00	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WRB	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
PRP$	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|IN	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBR|JJR	0	0	0	0	0.0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJR|RBR	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|JJ	0.0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MD|VB	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|NN	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
:	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
,	0.0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
NNS|NN	0	0.0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IN|JJ	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBD|VBP	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
