------------------------------------------
Baseline:
Word Error Rate = 10.717687074829932
Known Word WER = 8.442957640976276
Unknown Word WER = 84.46316007026972
	JJ	RB	NN	VBD	VB	UH	WDT	RBS	VBP	NNS	PDT	IN	LS	VBN	RP	VBG	NNP	CD	EX	POS	VBZ	JJS	PRP	RBR	DT	NNPS	CC	FW	JJR	SYM	MD	PRP$	WP	TO	$
JJ	-	0.07	0.06	0.00	3.18	0.13	1.41	0.29	2.87	0.41	0.14	0.60	0.04	1.78	-	-	0.00	0.02	0.00	0.02	0.12	0.11	0.00	0.02	-	-	-	-	0.01	-	-	-	-	-	-	-
IN	0.16	-	0.00	-	0.10	-	2.61	0.00	0.01	0.02	0.00	0.00	2.00	-	-	0.20	-	0.66	-	-	-	0.06	-	-	0.02	-	-	-	0.00	-	-	0.00	-	-	-	-
JJS	0.10	0.00	0.00	-	0.01	-	0.00	-	0.02	-	-	0.00	-	0.00	0.20	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.18	0.00	0.17	-	0.35	-	-	0.14	0.25	0.08	-	0.02	-	3.83	-	-	-	-	-	-	-	0.00	-	0.03	-	-	-	-	-	-	-	-	-	0.00	-	-
CD	1.86	0.24	0.01	-	0.98	-	0.00	0.11	0.52	0.04	-	-	-	0.07	-	-	0.08	0.00	-	-	0.00	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-
RBR	0.01	-	-	-	0.00	0.00	0.21	-	-	-	-	-	-	0.00	-	-	-	-	-	0.87	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	0.01	0.00	-	-	0.12	0.03	0.00	-	0.04	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-
JJR	0.12	0.00	0.00	-	0.04	-	0.01	0.00	0.01	-	-	-	-	0.02	-	-	-	-	-	-	-	-	0.71	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	-	-	0.00	0.03	0.11	-	-	-	-	-	-	-	-	-	-	0.07	-	0.00	0.02	0.00	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	0.01	-	-	-	0.00	0.42	-	0.00	-	-	-	0.00	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-
MD	0.00	-	0.01	-	0.05	-	0.00	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.10	0.37	0.00	-	1.38	-	0.00	0.00	0.16	-	0.00	0.00	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
PRP	0.00	0.00	-	-	0.02	-	-	-	0.03	-	-	0.01	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	0.00	0.00	-	0.09	-	-	-	-	-
LS	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-
RBS	-	-	-	-	0.00	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.22	-	-	-	-	-	-	-	-	-	-	0.01	-
WP	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	0.01	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.00	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	0.00	-	-	-	-	-	-	-	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	0.00	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|JJR	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	0.00	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD|VB	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
NNS|NN	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TO	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBP	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|VBZ	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|DT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NNP	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
NN|CD	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP$	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.999072356215213
Known Word WER = 3.794748870819162
Unknown Word WER = 44.04257517825773
	JJ	NNS	VBP	UH	NNP	IN	RB	VB	NN	VBG	VBD	CD	RP	VBN	RBS	WDT	PRP	DT	NNPS	JJR	PDT	FW	RBR	VBZ	CC	JJS	SYM	POS	LS	WP	PRP$	TO	EX	MD	''	,
NN	6.77	0.76	0.23	0.00	5.79	0.02	0.14	0.48	-	1.20	0.10	0.38	0.01	0.20	-	-	0.05	0.01	-	0.00	0.01	0.11	-	0.05	-	-	0.00	-	0.00	-	-	0.00	-	0.01	-	0.00
VBZ	0.18	1.19	0.08	-	0.38	-	-	0.06	0.17	0.07	0.26	0.03	-	0.04	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	0.20	-	-	-	-	-	-	-	-
VBN	2.84	0.02	0.02	-	0.37	-	0.01	0.14	0.47	0.16	3.10	0.11	-	-	-	-	-	-	-	-	-	0.02	-	0.01	-	-	-	-	0.00	-	-	-	-	-	-	-
VB	0.28	0.00	1.57	0.00	0.33	0.02	0.04	-	0.85	0.07	0.13	0.18	0.00	0.16	-	-	-	0.00	-	0.03	-	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	1.40	0.02	0.04	0.02	0.50	2.90	-	0.08	0.63	0.03	0.00	0.04	1.55	0.15	-	-	-	0.19	-	0.05	0.01	0.01	0.41	0.01	0.06	0.02	-	-	0.00	-	-	-	0.08	-	-	-
VBG	1.41	-	0.06	-	0.45	-	0.00	0.12	1.90	-	0.04	0.12	-	0.21	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.03	0.00	-	-	0.01	0.60	0.38	-	0.06	0.00	-	-	-	-	-	0.56	0.00	-	-	-	0.27	0.00	-	-	0.12	-	-	-	-	-	-	-	-	-	-	-
UH	0.00	-	-	-	0.05	-	0.04	-	0.01	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
NNS	0.90	-	0.02	-	2.51	-	0.07	0.03	2.96	0.02	0.02	0.16	-	0.18	-	-	-	-	0.43	-	-	0.03	-	0.65	-	-	-	-	0.00	-	-	-	-	-	-	-
NNP	3.04	0.30	0.02	0.00	-	0.04	0.11	0.08	2.24	0.05	0.03	0.35	0.00	0.09	0.00	-	0.00	0.12	1.93	0.00	-	0.39	0.00	0.05	0.00	0.01	-	0.01	0.05	-	0.00	-	-	0.00	-	-
RP	0.00	-	-	-	0.00	0.65	0.33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.08	0.00	-	-	0.12	0.01	0.01	2.13	0.68	0.01	0.15	0.00	-	0.08	-	-	-	-	0.00	-	-	-	-	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-
JJ	-	0.07	0.06	0.00	3.17	0.13	1.40	0.29	2.86	0.41	0.14	0.59	0.04	1.77	-	-	0.00	0.02	0.00	0.02	0.12	0.11	0.00	0.02	-	-	-	-	0.01	-	-	-	-	-	-	-
IN	0.16	-	0.00	-	0.10	-	2.60	0.00	0.01	0.02	0.00	0.00	2.00	-	-	0.20	-	0.65	-	-	-	0.06	-	-	0.02	-	-	-	0.00	-	-	0.00	-	-	-	-
JJS	0.10	0.00	0.00	-	0.01	-	0.00	-	0.02	-	-	0.00	-	0.00	0.20	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.18	0.00	0.17	-	0.35	-	-	0.14	0.25	0.08	-	0.02	-	3.82	-	-	-	-	-	-	-	0.00	-	0.03	-	-	-	-	-	-	-	-	-	0.00	-	-
CD	1.86	0.24	0.01	-	0.98	-	0.00	0.11	0.51	0.04	-	-	-	0.07	-	-	0.08	0.00	-	-	0.00	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-
RBR	0.01	-	-	-	0.00	0.00	0.21	-	-	-	-	-	-	0.00	-	-	-	-	-	0.86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	0.01	0.00	-	-	0.12	0.03	0.00	-	0.04	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-
JJR	0.12	0.00	0.00	-	0.04	-	0.01	0.00	0.01	-	-	-	-	0.02	-	-	-	-	-	-	-	-	0.71	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	-	-	0.00	0.03	0.11	-	-	-	-	-	-	-	-	-	-	0.07	-	0.00	0.02	0.00	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	0.01	-	-	-	0.00	0.42	-	0.00	-	-	-	0.00	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-
MD	0.00	-	0.01	-	0.05	-	0.00	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
#	-	-	-	-	0.00	-	-	-	-	-	-	0.33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.10	0.37	0.00	-	1.38	-	0.00	0.00	0.16	-	0.00	0.00	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
PRP	0.00	0.00	-	-	0.02	-	-	-	0.03	-	-	0.01	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	0.00	0.00	-	0.09	-	-	-	-	-
LS	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-
RBS	-	-	-	-	0.00	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.21	-	-	-	-	-	-	-	-	-	-	0.01	-
WP	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	0.01	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.00	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	0.00	-	-	-	-	-	-	-	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	0.00	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|JJR	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	0.00	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD|VB	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
NNS|NN	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TO	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBP	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|VBZ	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|DT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NNP	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
NN|CD	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP$	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
