------------------------------------------
Baseline:
Word Error Rate = 10.08916038070557
Known Word WER = 8.503971721656708
Unknown Word WER = 86.62105663245913
	NNS	JJ	RB	NN	VB	UH	VBG	RP	PDT	WDT	NNP	VBD	IN	VBN	VBP	NNPS	VBZ	JJR	LS	MD	CD	RBR	POS	RBS	JJS	FW	EX	DT	CC	WP	PRP$	PRP	SYM	TO	$
VBZ	0.89	-	-	0.35	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	1.23	-	-	-	-	-	-	-	-	-	-	-	-
VBN	-	0.12	-	0.45	0.20	-	-	-	-	-	0.02	2.93	-	-	-	-	-	-	-	-	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.05	-	1.07	4.37	0.51	-	0.61	0.06	0.86	-	0.65	0.20	0.06	1.61	0.02	0.33	-	0.02	1.20	-	0.00	0.19	-	0.00	0.02	0.00	-	0.00	-	-	-	-	-	0.00	-
NNP	0.18	1.49	0.07	6.68	0.03	0.01	0.02	0.01	0.00	-	-	-	0.03	0.05	0.00	1.77	-	0.01	0.35	0.01	0.01	-	-	-	0.03	0.14	-	0.06	-	-	-	0.00	-	-	0.01
NN	0.22	3.60	0.19	-	7.74	0.11	4.88	0.00	0.15	-	1.44	0.07	0.02	0.22	2.03	0.00	0.02	0.00	0.06	0.04	0.11	-	-	-	-	0.29	-	-	0.00	-	-	0.00	-	-	-
CD	0.06	0.02	-	2.86	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	1.89	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	-	0.66	-	0.47	0.10	0.64	-	2.08	0.15	0.02	0.01	0.00	1.11	-	-	-	-	0.00	0.12	-	0.00	0.36	-	-	0.02	0.00	0.15	0.02	0.03	-	-	-	-	-	-
IN	-	0.13	1.98	0.01	-	-	-	3.42	-	5.08	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.16	-	0.00	-	-	-	-	-	-	-
VBP	-	0.06	-	0.47	2.42	-	-	0.00	-	-	-	-	0.03	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	-	0.03	-	-	-	0.71	-	-	1.51	1.36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	0.09	-	-	0.00	-	-	-
NNS	-	0.03	-	1.92	-	-	-	-	-	-	0.06	-	-	0.00	-	1.11	1.37	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	0.01	-	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	0.03	-	0.30	0.11	-	-	-	-	-	0.00	-	-	5.92	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.00	0.15	-	1.58	-	0.00	-	0.04	-	-	0.03	0.03	0.06	0.36	3.44	-	-	0.01	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	0.03	-	0.78	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.28	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	0.04	-	-	-	-	-	0.03	-	-	-	0.00	-	-	-	-	-	-	-	-	0.03	-	-	-	0.00	-	-	-	-	-	-	-	-	-
JJS	-	-	-	0.07	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	0.41	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	0.03	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-
NNPS	0.06	0.01	-	0.14	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	0.02	-	-	-	-	-
MD	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
