------------------------------------------
Baseline:
Word Error Rate = 10.018862165313964
Known Word WER = 8.351068085446837
Unknown Word WER = 85.03058654192155
	JJ	WDT	RP	IN	RBS	NN	RB	NNPS	PDT	VB	UH	VBD	VBP	NNP	VBN	VBG	LS	POS	DT	RBR	JJS	NNS	JJR	VBZ	CD	EX	FW	CC	PRP$	PRP	NPS	MD	WP	SYM	$
NN	4.00	-	0.05	0.03	-	-	0.31	-	0.11	7.96	0.14	0.05	1.68	1.24	0.28	4.77	0.03	-	-	-	-	0.33	0.02	-	0.07	-	0.21	0.00	-	-	-	0.04	-	0.00	-
IN	0.21	4.89	3.35	-	-	0.00	2.01	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	0.08	0.03	-	-	-	-	-	-	-
RB	0.74	0.03	1.89	1.14	-	0.55	-	-	0.13	0.10	0.61	-	0.00	0.03	-	-	0.03	-	0.02	0.35	-	-	0.05	-	-	0.17	-	0.03	-	-	-	-	-	-	-
JJS	-	-	-	-	0.48	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.04	-	0.01	0.03	-	0.42	-	0.00	-	2.20	-	-	-	-	0.03	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
JJ	-	-	0.10	0.05	-	4.90	1.09	0.46	0.75	0.43	-	0.25	0.03	0.71	1.71	0.54	0.28	-	-	0.17	0.00	0.09	0.03	-	0.02	-	-	-	-	0.00	-	0.00	-	-	-
NNP	1.18	-	0.02	0.04	-	6.56	0.02	1.92	-	0.04	0.00	-	0.02	-	0.00	0.03	0.33	0.00	0.09	0.01	0.02	0.11	0.05	0.01	0.03	-	0.07	0.00	0.00	0.00	-	0.03	-	-	0.01
DT	0.01	1.21	-	-	-	-	-	-	1.46	-	0.71	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-
NNS	0.00	-	-	-	-	2.07	-	0.83	-	-	-	0.00	-	0.10	0.00	-	-	-	-	-	-	-	-	1.40	0.10	-	-	-	-	-	0.00	-	-	-	-
VBN	0.14	-	-	-	-	0.57	-	-	-	0.32	-	2.88	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.28	-	0.03	0.10	-	1.46	0.01	-	-	-	-	0.02	3.82	0.03	0.18	-	-	-	-	0.00	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	-	-	-	-	-	0.36	-	0.00	-	-	-	-	-	-	-	-	-	1.24	-	-	-	0.51	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.02	-	-	-	-	0.32	-	-	-	0.21	-	-	-	-	6.64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-
CD	0.01	-	-	-	-	2.81	-	-	-	-	-	-	-	-	-	-	1.82	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	1.42	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	0.04	-	-	-	-	1.01	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.28	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	0.00	-	-	-	-	-	-	0.04	-	-	-	0.12	-	-	-	-	-	-
UH	-	-	-	-	-	0.05	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	-	0.20	-	-	0.01	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.03	-	-	-	-	0.24	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	0.00	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	-	0.00	-	-	0.05	-	0.01	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
