------------------------------------------
Baseline:
Word Error Rate = 9.876232335256233
Known Word WER = 8.18385387814336
Unknown Word WER = 85.06065857885615
	VB	LS	VBN	NNPS	WDT	RB	NN	RBS	NNS	JJ	VBG	IN	POS	PDT	VBP	VBZ	RP	RBR	NNP	UH	VBD	FW	DT	EX	CC	JJS	WP	PRP$	TO	CD	JJR	PRP	SYM	MD	NPS
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 9.725910325672253
Known Word WER = 8.18385387814336
Unknown Word WER = 78.23223570190642
	VB	LS	VBN	NNPS	WDT	RB	NN	RBS	NNS	JJ	VBG	IN	POS	PDT	VBP	VBZ	RP	RBR	NNP	UH	VBD	FW	DT	EX	CC	JJS	WP	PRP$	TO	CD	JJR	PRP	SYM	MD	NPS
VBP	2.35	-	0.08	0.00	-	-	0.26	-	-	0.06	-	0.01	-	-	-	-	0.00	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	1.71	-	-	-	-	0.03	-	0.00	-	-	-	-	-	-	-	-	-	2.85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNP	0.05	0.54	0.14	2.45	-	0.07	5.52	0.00	0.14	1.36	0.07	-	0.00	0.00	0.01	0.00	0.06	0.01	-	0.00	0.03	0.13	0.09	-	-	0.05	-	0.00	-	0.05	0.01	0.00	-	0.01	-
IN	-	-	-	-	5.60	2.29	0.02	-	-	0.23	0.00	-	-	-	-	-	3.28	-	-	-	-	0.18	0.02	-	0.00	-	-	-	-	-	-	-	-	-	-
JJ	0.57	0.07	1.57	0.58	-	1.04	4.28	-	0.06	-	0.92	0.03	-	1.09	0.02	-	0.08	0.17	0.90	0.00	0.26	0.00	-	-	-	-	-	-	-	0.02	0.01	-	-	-	-
VBN	0.33	-	-	-	-	-	0.61	-	-	0.10	-	-	-	-	0.00	0.00	-	-	0.02	-	2.70	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	-	-	-	-	-	-	0.01	0.57	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	8.04	-	0.26	0.00	-	0.15	-	0.02	0.37	3.75	4.10	0.03	-	0.15	1.70	-	0.03	-	1.47	0.18	0.06	0.28	0.00	-	0.00	0.00	-	-	0.00	0.14	-	0.01	0.00	0.03	-
RB	0.11	0.02	-	0.00	0.02	-	0.14	0.00	-	0.74	0.01	1.14	-	0.07	-	-	1.86	0.37	0.03	0.58	-	-	0.03	0.20	0.09	-	-	-	-	-	0.05	-	-	-	-
DT	-	-	-	-	1.12	-	-	-	-	0.02	-	-	-	1.49	-	-	-	-	-	0.80	-	0.00	-	-	0.10	-	-	-	-	-	-	0.01	-	-	-
VBZ	-	-	-	0.02	-	-	0.25	-	0.76	-	-	-	1.09	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	-	-	0.37	-	-	0.01	1.54	0.00	-	0.21	-	0.05	-	-	3.75	-	0.03	-	0.07	-	0.01	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-
NNS	-	-	0.01	1.14	-	-	1.80	-	-	0.01	-	-	-	-	-	1.50	-	-	0.13	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-
VBD	0.16	-	6.40	-	-	-	0.32	-	-	0.01	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	-	-	-	-	-	0.06	-	-	-	0.00	-	-	-	-	-	-	1.71	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	-	-	-	-	-	-	-	-	-	0.13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	0.01	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	-	-	-	0.04	-	-	0.01	-	-	0.01	-	0.05	-	-	-	0.03	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	-	-	-	-	-	0.42	-	-	0.07	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.14	-	0.05	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-
VBN|JJ	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-
NNS|NNPS	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|JJR	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	-	-	-	0.11	-	0.00	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	-	-	-	-	-	-	-	-	0.03	0.01	-	-	-	-	-	-	-	-	0.05	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00
RBR	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.18	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.48066416384336
Known Word WER = 3.5921883168054176
Unknown Word WER = 43.95147313691508
	VBD	IN	CD	VB	WDT	NN	VBN	NNP	RB	VBZ	VBP	NNS	JJ	PDT	NNPS	DT	VBG	CC	''	RP	RBR	LS	PRP	RBS	FW	JJR	POS	WP	PRP$	TO	JJS	NPS	UH	EX	MD
VBP	0.17	0.01	0.01	1.82	-	0.69	0.06	0.17	0.01	-	-	-	0.06	-	0.01	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	-	2.80	0.01	0.13	-	0.51	0.11	0.47	-	0.03	0.03	0.01	1.53	0.01	-	0.15	0.01	0.03	-	1.78	0.51	-	-	-	-	0.05	-	-	-	-	-	-	0.05	0.10	-
VBN	3.01	-	0.13	0.20	-	0.34	-	0.23	0.03	0.01	0.03	0.03	2.74	-	-	-	0.11	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-
NN	0.10	0.03	0.27	0.47	-	-	0.11	5.67	0.10	-	0.13	0.80	6.91	0.05	0.01	0.01	1.39	0.01	-	0.01	-	-	0.08	-	0.10	-	-	-	-	0.01	-	-	-	-	0.03
DT	-	0.78	-	-	0.52	0.06	-	0.03	0.44	-	-	-	0.05	0.32	-	-	-	0.17	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.15	0.03	0.11	-	-	0.93	0.06	0.25	0.05	0.01	1.87	-	0.22	-	-	-	0.08	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
VBD	-	-	0.01	0.17	-	0.27	3.79	0.25	-	0.05	0.15	-	0.28	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	-	-	0.05	-	0.42	0.05	0.91	-	-	0.01	0.20	1.27	-	-	-	0.03	-	-	-	-	0.06	0.13	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.23	0.22	0.47	0.17	-	3.01	1.87	3.69	1.29	0.01	0.03	0.08	-	0.27	-	-	0.42	-	-	0.03	0.03	0.01	-	-	0.11	-	-	-	-	-	-	-	0.01	-	-
IN	0.01	-	-	-	0.39	0.03	-	0.01	3.49	-	0.01	-	0.32	-	-	0.76	0.01	0.01	-	2.31	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-
JJR	-	-	-	-	-	0.03	-	0.10	0.01	-	-	-	0.15	-	-	-	-	-	-	-	0.88	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	0.03	-	0.06	0.10	-	2.14	0.20	0.59	-	0.01	0.06	-	1.27	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-
VBZ	0.05	-	0.01	0.03	-	0.06	0.01	0.32	-	-	0.01	1.24	0.13	-	-	-	0.06	-	-	-	-	-	-	-	0.01	-	0.15	-	-	-	-	-	-	-	-
RP	-	0.44	-	-	-	-	-	0.01	0.35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNP	-	-	0.27	0.11	-	2.16	0.17	-	0.06	0.03	0.03	0.40	2.79	-	2.11	0.11	0.06	-	-	-	-	-	-	-	0.42	-	0.01	-	0.01	-	-	-	0.03	-	-
NNS	-	-	0.18	0.01	-	2.38	0.25	2.23	0.03	0.71	0.05	-	0.86	-	0.25	-	0.03	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	0.01	-	-	-
JJS	-	-	0.01	-	-	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	0.22	-	0.01	-	-	-	-	-	-	-	-	-
CC	-	0.03	-	-	-	-	-	-	0.08	-	-	0.03	-	0.05	-	0.10	-	-	-	-	0.05	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
UH	-	-	-	0.03	-	-	-	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	0.23	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.01	-	-	-	-	0.15	-	1.43	-	-	-	0.37	0.10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-
WP	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	0.01	-	-	-	-	0.01	-	0.03	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	-	-	-	-	-	0.01	0.20	-	-	-	0.05	-	-	-	-	0.01	-	-	-	-	-	-	-	1.07	-	-	-	-	-	-	-	-	-
