------------------------------------------
Baseline:
Word Error Rate = 9.99253828934514
Known Word WER = 8.294651708023224
Unknown Word WER = 84.64199239017641
	NNS	JJ	RB	NN	VB	UH	VBD	POS	VBZ	PDT	IN	VBP	NNPS	VBN	RBR	LS	WDT	NNP	RP	VBG	CD	EX	CC	RBS	JJR	JJS	FW	MD	PRP	DT	WP	PRP$	SYM
MD	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|IN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
RB|DT	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NNP	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 9.835996215297275
Known Word WER = 8.294651708023224
Unknown Word WER = 77.60290556900726
	NNP	NNS	JJ	RB	VBN	VB	UH	VBD	POS	NN	VBZ	PDT	IN	VBP	NNPS	RBR	LS	WDT	RP	VBG	CD	RBS	EX	CC	JJR	JJS	FW	MD	PRP	DT	WP	PRP$	SYM
NN	1.57	0.39	3.50	0.25	0.22	7.98	0.02	0.05	-	-	0.01	0.15	0.02	1.80	0.01	-	0.03	-	0.01	5.56	0.15	0.00	-	0.00	0.01	0.00	0.23	0.03	0.00	0.01	-	-	0.00
VBZ	0.02	0.69	-	-	-	-	-	-	1.40	0.28	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.02	-	0.14	-	-	0.35	-	2.97	-	0.63	-	-	-	0.00	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.75	0.06	-	1.15	1.72	0.52	-	0.17	-	4.27	-	0.95	0.03	0.04	0.43	0.12	0.05	-	0.08	0.83	0.00	0.00	-	0.00	0.02	0.01	0.00	-	0.00	0.00	-	-	-
NNP	-	0.08	1.50	0.06	0.12	0.00	0.00	0.01	0.02	5.45	0.00	0.00	0.03	0.01	2.36	0.01	0.44	-	0.05	0.07	0.05	0.01	-	0.00	0.01	0.05	0.09	0.00	0.00	0.11	-	0.01	-
CD	2.99	0.01	0.03	-	-	-	-	-	-	0.03	-	-	-	-	-	-	1.74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	0.03	-	0.82	-	-	0.07	0.54	-	-	0.16	-	0.09	1.05	-	-	0.39	0.02	0.03	1.93	0.00	-	-	0.16	0.04	0.05	0.01	-	-	-	0.02	-	-	-
IN	0.00	-	0.20	1.96	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	5.18	3.33	-	-	-	-	0.02	-	-	0.18	-	-	0.01	-	-	-
VB	0.04	0.00	0.23	0.00	0.18	-	0.01	0.01	-	1.66	-	-	0.04	3.60	-	0.00	-	-	0.01	0.00	-	-	-	-	0.02	-	-	-	-	-	-	-	-
NNS	0.14	-	0.03	-	0.01	-	-	-	-	1.84	1.38	-	-	-	1.33	-	-	-	-	-	0.08	-	-	-	-	-	0.00	-	-	-	-	-	-
DT	-	-	0.01	0.00	-	-	0.75	-	-	-	-	1.41	-	-	-	-	-	1.19	-	-	-	-	-	0.09	-	-	0.01	-	0.00	-	-	-	-
RP	-	-	-	0.02	-	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.00	-	0.04	-	0.01	2.72	-	0.01	-	0.38	-	-	0.02	-	0.00	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
VBD	0.01	-	0.02	-	6.16	0.17	-	-	-	0.32	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	0.00	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	1.59	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	-	0.04	-	-	-	-	-	-	-	0.03	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
VBG	0.04	-	0.05	-	-	-	-	-	-	0.13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
