------------------------------------------
Baseline:
Word Error Rate = 10.126858055811429
Known Word WER = 8.438872992792032
Unknown Word WER = 84.5424780286059
	WDT	JJ	RBS	NN	VB	VBP	JJR	UH	RB	POS	NNP	PDT	RBR	NNPS	LS	VBN	CD	IN	RP	EX	VBD	VBZ	VBG	DT	NNS	PRP$	FW	CC	JJS	SYM	MD	PRP	WP	NPS
	WDT	JJ	RBS	NN	VB	VBP	VBG	JJR	UH	RB	POS	NNP	PDT	RBR	NNPS	LS	VBN	CD	IN	RP	EX	VBD	VBZ	DT	NNS	PRP$	FW	CC	JJS	SYM	MD	PRP	WP	NPS
DT	1.27	0.01	-	-	-	-	-	-	0.64	-	-	-	1.48	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.07	-	-	-	0.00	-	-
RB	0.03	0.77	-	0.10	0.10	-	-	0.03	0.65	-	-	0.02	0.10	0.47	-	0.10	0.01	-	1.03	1.81	0.18	0.00	-	0.01	-	-	-	0.03	0.03	-	-	-	-	-
JJS	-	-	0.45	0.01	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	0.02	-	1.72	-	-	-	-	-	-	-	0.16	-	-	1.33	-	0.01	0.07	-	-	-	-	1.29	-	-	-	-	-	-	-	-	-	-	0.01
VBZ	-	-	-	0.27	-	0.00	-	-	-	-	1.29	0.01	-	-	0.01	-	-	-	-	-	-	-	-	-	0.84	-	-	-	-	-	-	-	-	-
VBP	-	0.02	-	0.42	2.56	-	0.00	-	-	-	-	0.01	-	-	0.00	-	0.03	0.00	0.04	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
VB	-	0.22	0.00	1.55	-	3.67	0.00	0.03	0.00	0.00	-	0.05	-	-	-	-	0.16	-	0.03	0.01	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
JJ	-	-	0.01	4.63	0.44	0.01	0.86	0.01	0.01	1.17	-	0.76	1.14	0.11	0.46	1.03	1.62	0.01	0.05	0.09	-	0.21	-	0.00	0.07	0.00	0.03	0.00	0.01	-	-	0.00	-	-
NN	-	3.67	0.00	-	7.60	1.91	5.30	0.01	0.01	0.22	-	1.44	0.10	-	0.03	0.06	0.28	0.11	0.03	0.03	-	0.03	-	0.01	0.36	-	0.25	0.01	0.00	0.01	0.04	0.01	-	-
VBN	-	0.17	-	0.57	0.30	0.00	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	2.82	0.00	-	0.00	-	-	-	-	-	-	-	-	-
NNP	-	1.35	0.01	5.41	0.03	0.04	0.07	0.01	0.00	0.09	0.01	-	-	0.01	2.42	0.39	0.13	0.03	0.03	0.01	-	0.00	0.01	0.06	0.15	0.00	0.29	-	0.01	-	0.02	0.01	-	-
CD	-	0.01	-	0.02	-	-	-	-	-	-	-	2.95	0.00	-	-	1.58	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	0.00	-	-
IN	5.37	0.18	-	0.01	-	-	-	-	-	2.07	-	0.01	-	-	-	-	-	-	-	3.20	-	-	-	0.03	-	-	0.13	0.01	-	-	-	-	-	-
RP	-	0.00	-	-	0.00	-	-	-	-	0.01	-	-	-	-	-	-	-	-	0.19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	0.02	-	0.33	0.15	-	-	-	-	-	-	0.01	-	-	-	-	5.91	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
JJR	-	0.01	-	0.04	-	-	-	-	-	-	-	0.01	-	1.49	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	0.00	-	-	-	-	-	-	0.01	0.00	-	-	-	-	-	0.04	-	-	-	-	-	-	-	0.13	-	-	-	-	-	-	-	-
