------------------------------------------
Baseline:
Word Error Rate = 9.986498511767774
Known Word WER = 8.431423223613624
Unknown Word WER = 84.43944506936633
	POS	VBP	RB	NN	JJ	NNP	PDT	RBR	NNPS	WDT	VB	RBS	NNS	IN	VBN	VBD	CC	VBG	RP	UH	FW	LS	VBZ	JJR	EX	CD	DT	WP	PRP	JJS	PRP$	MD	SYM
VBZ	0.92	-	-	0.37	-	0.00	-	-	0.00	-	-	-	0.86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	-	3.57	-	1.48	0.27	0.04	-	-	-	-	-	-	-	0.06	0.34	0.01	-	-	0.03	0.00	-	-	-	0.01	-	-	-	-	-	-	-	-	-
JJ	-	0.05	1.27	4.50	-	0.56	1.21	0.18	0.51	-	0.46	-	0.04	0.05	1.57	0.19	0.00	0.56	0.05	0.01	0.02	1.20	-	0.03	-	0.00	-	-	-	-	0.00	-	-
VBN	-	-	-	0.62	0.15	0.00	-	-	-	-	0.30	-	-	-	-	2.91	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	-	1.53	0.32	-	3.51	1.48	0.14	-	-	-	8.06	-	0.39	0.03	0.30	0.07	-	5.31	0.01	0.12	0.37	0.06	-	0.01	-	0.10	-	-	0.00	0.00	-	0.01	-
NNP	-	0.01	0.03	6.47	1.18	-	0.01	0.00	1.82	-	0.04	-	0.09	0.02	0.01	-	-	0.03	0.00	-	0.35	0.42	0.00	0.03	-	0.05	0.03	-	0.02	0.06	-	-	-
NNS	-	-	-	1.82	0.00	0.09	-	-	0.99	-	-	-	-	-	-	-	-	-	-	-	-	-	1.26	-	-	0.09	-	-	-	-	-	-	-
IN	-	-	1.97	0.02	0.15	-	-	-	-	5.13	-	-	-	-	-	-	0.00	-	3.45	-	0.13	-	-	-	-	-	0.01	-	-	-	-	-	-
DT	-	-	-	-	0.02	-	1.53	-	-	1.08	-	-	-	-	-	-	0.08	-	-	0.79	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	-	-	-	0.05	0.00	-	-	0.00	-	-	-	0.44	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	0.01	-	-	0.00	-	-	-	-	-	-	-	0.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	-	-	0.23	0.01	-	-	-	-	-	0.16	-	-	-	6.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-
VBP	-	-	-	0.36	0.03	0.02	-	-	0.00	-	2.35	-	-	0.01	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	-	-	-	0.36	0.61	0.04	0.13	0.32	-	0.01	0.04	-	-	1.12	-	-	0.06	-	1.85	0.77	-	0.09	-	0.03	0.11	-	0.03	-	-	0.00	-	-	-
CD	-	-	-	2.77	0.03	0.00	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	1.78	-	-	-	-	-	-	-	-	-	-	-
''	0.09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	-	-	0.80	0.06	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.22	-	-	-	-	-	-	-	-	-
JJR	-	-	0.00	0.04	0.00	-	-	1.41	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	0.10	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	0.06	-	-	-	-	-
UH	-	0.00	-	0.04	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	0.02	-	-	-	0.04	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	0.08	-	0.00	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-
NNPS	-	-	-	0.14	0.00	0.06	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03
``	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
