------------------------------------------
Baseline:
Word Error Rate = 9.839130604136642
Known Word WER = 8.275944333996025
Unknown Word WER = 85.0095602294455
	NNPS	VB	VBG	NN	VBP	RBS	WDT	NNS	IN	VBN	RP	JJ	VBZ	POS	PDT	UH	VBD	LS	RB	NNP	JJR	FW	RBR	DT	EX	JJS	CD	WP	PRP$	NPS	CC	PRP	MD	TO
VBN|JJ	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 9.691115179371323
Known Word WER = 8.275944333996025
Unknown Word WER = 77.74378585086042
	NNPS	VB	VBG	NN	VBP	RBS	WDT	NNS	IN	VBN	RP	JJ	VBZ	POS	PDT	UH	VBD	LS	RB	NNP	JJR	FW	RBR	DT	EX	JJS	CD	WP	PRP$	NPS	CC	PRP	MD	TO
NNP	2.61	0.04	0.12	5.36	0.00	0.00	-	0.16	0.04	0.12	0.05	1.51	-	0.00	0.00	0.02	-	0.59	0.08	-	0.02	0.17	-	0.07	-	0.06	0.04	-	-	-	0.01	0.00	0.02	-
NN	0.03	7.82	5.00	-	1.63	-	-	0.36	0.05	0.32	0.04	3.83	-	-	0.12	0.01	0.09	0.10	0.29	1.43	-	0.13	-	0.00	-	0.01	0.14	-	-	-	-	0.01	0.03	-
JJ	0.53	0.54	0.96	4.30	0.03	0.02	-	0.03	0.08	1.66	0.11	-	-	-	1.10	0.01	0.16	0.29	1.22	0.87	0.04	0.01	0.11	-	-	0.02	-	-	-	-	-	-	-	-
VB	-	-	-	1.70	3.98	-	-	-	0.04	0.23	0.01	0.12	-	-	-	-	0.03	-	0.00	0.03	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-
JJS	-	-	-	0.00	-	0.50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
IN	-	-	0.00	0.01	-	-	5.24	-	-	-	3.48	0.17	-	-	-	-	-	-	2.09	-	-	0.12	-	0.04	-	-	-	-	-	-	0.00	-	-	0.00
VBZ	0.04	-	-	0.25	-	-	-	0.78	-	-	-	-	-	1.40	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	-	-	-	-	-	-	0.15	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	0.13	-	0.40	-	-	-	-	-	6.58	-	0.01	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	-	2.05	-	0.41	-	-	-	-	0.04	0.04	-	0.04	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	1.41	-	0.00	1.42	-	-	-	-	-	0.03	-	0.02	1.37	-	-	-	-	-	-	0.14	-	-	-	-	-	-	0.14	-	-	0.02	-	-	-	-
DT	-	-	-	-	-	-	1.19	-	-	-	-	0.02	-	-	1.55	0.54	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	0.08	0.00	-	-
RB	-	0.08	0.00	0.12	0.01	-	0.00	-	0.98	0.00	1.82	0.77	-	-	0.12	0.65	-	0.04	-	0.00	0.04	-	0.37	0.02	0.19	0.04	-	-	-	-	0.00	-	-	-
VBN	-	0.32	-	0.41	0.00	-	-	-	-	-	-	0.08	-	-	-	-	3.15	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	-	-	0.12	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	-	-	0.04	-	-	-	0.01	-	0.01	-	0.01	-	-	-	-	-	1.62	0.00	2.60	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.52	-	-	-	-	-	-	-	-	-	-	-
