------------------------------------------
Baseline:
Word Error Rate = 10.432809590817198
Known Word WER = 8.161781938646886
Unknown Word WER = 84.11426222770243
	NNS	VBP	NN	RB	VBD	VB	UH	JJR	RBR	VBZ	POS	WDT	LS	NNPS	RBS	VBG	RP	JJ	PDT	PRP	VBN	EX	JJS	DT	NNP	IN	CC	FW	CD	PRP$	MD	SYM	WP	,
JJ|JJR	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
MD|VB	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
VBD|VBP	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|VBZ	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|VBG	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NNP	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|POS	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 10.213439925279127
Known Word WER = 8.161781938646886
Unknown Word WER = 76.7776407727086
	NNP	NNS	VBP	NN	RB	VBN	VBD	VB	UH	VBG	JJR	RBR	VBZ	POS	WDT	LS	NNPS	RBS	RP	JJ	PDT	PRP	EX	JJS	DT	IN	CC	FW	CD	PRP$	MD	SYM	WP	,
NN	1.51	0.36	1.99	-	0.22	0.26	0.03	7.45	0.00	3.89	0.01	0.00	0.01	-	-	-	0.03	0.01	0.03	3.56	0.13	0.01	-	0.00	0.01	0.02	0.01	0.17	0.11	-	0.04	0.00	-	-
VBZ	0.02	0.75	-	0.44	-	-	-	-	-	-	-	-	-	1.23	-	-	0.05	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.02	-	0.00	0.81	-	-	2.82	0.25	-	-	-	0.00	-	-	-	-	-	-	-	0.19	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-
JJ	0.69	0.05	0.02	5.19	1.13	1.54	0.17	0.43	0.00	0.94	0.02	0.15	-	-	-	0.02	0.42	0.03	0.05	-	1.07	0.00	-	0.01	0.00	0.06	0.00	0.01	0.01	0.00	0.00	-	-	-
NNP	-	0.11	0.02	6.79	0.08	0.15	0.01	0.02	0.00	0.12	0.01	0.01	0.00	0.00	-	0.29	2.26	0.01	0.00	1.37	0.00	0.01	-	0.05	0.09	0.04	0.00	0.04	0.03	0.00	0.01	-	-	0.00
CD	3.68	0.06	-	0.05	0.00	0.00	-	-	-	-	-	-	-	-	-	1.64	-	-	-	0.01	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-
RB	0.02	0.00	0.00	0.16	-	0.00	0.00	0.09	0.18	0.00	0.03	0.36	-	-	0.02	0.02	0.00	0.00	1.85	0.77	0.10	-	0.13	0.01	0.02	1.12	0.05	-	-	-	-	-	-	-
IN	0.01	-	0.00	0.01	1.94	-	-	0.00	-	0.00	-	-	-	-	4.94	-	-	-	3.26	0.17	-	-	-	0.00	0.02	-	0.02	0.13	-	-	-	0.00	-	-
DT	0.00	-	-	0.00	0.00	-	-	-	0.74	-	-	-	-	-	1.12	-	-	-	-	0.01	1.44	0.00	-	-	-	-	0.07	0.00	-	-	-	-	-	-
JJR	0.00	-	-	0.06	0.00	-	-	-	-	0.00	-	1.52	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	0.16	-	-	2.33	-	0.01	-	-	-	0.00	-	-	1.57	-	-	-	1.17	-	-	0.02	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-
VBP	0.01	-	-	0.49	0.00	0.05	0.00	2.18	-	-	0.00	-	0.00	-	-	-	0.00	-	0.00	0.06	-	0.00	-	-	0.00	0.01	-	-	-	-	0.00	-	-	-
JJS	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.48	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.03	-	0.00	0.49	-	5.83	-	0.15	-	-	-	0.00	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
VB	0.05	0.00	3.86	1.77	0.00	0.31	0.03	-	0.00	0.00	0.02	0.00	-	-	-	-	0.00	0.00	0.02	0.20	-	-	-	-	-	0.07	-	-	-	-	0.00	-	-	-
NNPS	0.09	0.10	-	0.00	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	0.02	-	-	0.29	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	0.00	-	-	0.07	0.00	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.00	0.00	0.00	-	-	-	-	-	-	-
RP	0.00	-	-	-	0.01	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.15	-	-	-	-	-	-	-	-
PRP	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	0.12	-	-	-	-
