------------------------------------------
Baseline:
Word Error Rate = 10.21233769578534
Known Word WER = 8.524753598755025
Unknown Word WER = 84.18902114052229
	RP	RB	PDT	JJ	VB	EX	CD	IN	NN	WDT	LS	VBN	VBD	VBG	VBP	NNP	VBZ	NNS	RBR	CC	UH	POS	NNPS	JJR	FW	DT	MD	RBS	JJS	PRP	WP	PRP$	SYM	NPS	TO	,
VBZ	1.26	-	0.04	-	0.13	0.20	0.15	-	-	0.00	0.05	0.00	-	0.05	0.29	-	-	0.06	-	-	-	-	0.20	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	-	2.08	-	-	0.20	-	-	0.20	2.94	-	0.00	-	0.11	0.01	0.08	-	-	0.02	-	-	0.50	0.09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.01	-	0.02	0.01	0.10	0.17	0.80	-	0.02	0.05	-	-	-	2.33	0.11	-	-	0.02	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	-	0.75	-	-	-	-	0.46	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.01	-	0.06	-	2.83	2.90	0.34	-	0.01	-	0.02	-	0.01	0.11	0.33	-	-	0.06	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	0.00	-	0.09	-	1.40	0.06	2.14	-	-	0.16	0.05	-	-	0.14	0.56	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	-	0.18	-	0.69	-	2.42	-	0.03	0.13	0.01	0.03	0.07	0.03	2.34	0.55	-	-	-	0.55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.00	-	-	0.75	0.02	-	0.04	0.55	0.39	-	-	-	0.02	-	0.03	-	-	-	-	-	-	0.06	-	0.30	0.00	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	-	0.00	-	0.27	-	0.13	-	-	4.13	0.09	-	0.00	0.10	0.38	-	-	0.01	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-
NNP	0.32	0.00	0.27	0.04	2.60	0.03	1.91	-	0.14	0.04	0.00	-	0.48	0.05	-	2.23	-	0.05	-	0.04	0.13	-	0.00	-	0.01	-	-	0.01	-	0.00	-	-	-	-	0.00	-	-
VB	-	-	0.14	0.00	0.27	0.09	0.82	-	0.07	0.09	1.92	0.00	0.00	-	0.37	-	-	0.05	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.08	0.07	0.54	0.16	-	0.09	3.06	-	1.37	1.97	0.09	0.00	0.15	0.25	2.95	-	0.00	0.50	0.01	-	0.02	-	-	0.14	0.03	-	-	0.01	-	-	0.01	-	-	0.00	-	-	-
JJR	-	-	-	-	0.13	-	0.04	-	0.02	-	-	-	-	0.00	0.04	-	0.76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	0.20	-	-	-	1.58	-	0.42	-	-	0.07	0.00	-	0.01	0.06	0.97	-	-	0.02	-	0.00	-	-	-	-	0.04	-	-	-	-	-	0.00	-	-	-	-	-	-
CC	-	-	-	0.03	-	-	-	-	0.15	-	-	-	0.01	-	-	-	0.01	-	0.00	-	0.08	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	0.59	0.00	0.34	0.03	6.74	0.10	-	-	0.19	0.15	0.23	0.00	0.18	0.44	5.66	-	-	1.51	0.00	0.00	0.01	-	-	0.01	0.03	-	-	0.00	-	-	-	-	0.00	-	-	0.00	-
RB	0.03	1.71	0.01	3.20	1.55	0.01	0.62	-	-	0.11	0.01	0.02	0.01	0.08	0.59	-	0.37	0.01	0.06	0.00	0.18	0.06	-	0.01	-	0.06	-	0.03	-	-	-	0.02	-	-	-	-	-
RBR	-	-	-	0.00	0.04	0.00	0.00	-	0.22	0.00	-	-	-	-	0.00	-	-	-	1.09	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	0.36	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.03	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-
#	-	-	0.31	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	0.00	-	-	-	0.08	-	0.00	-	0.00	0.00	0.00	-	-	-	0.02	-	0.00	-	-	-	-	-	-	-	-	-	0.31	-	-	-	-	-	-	-	-	-	-
PRP	0.00	-	0.00	-	0.00	-	0.00	-	-	-	-	-	-	-	0.04	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-
MD	-	-	-	-	-	0.01	-	-	-	-	0.01	-	-	-	0.06	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.42	-	0.02	-	0.12	-	0.13	-	-	0.01	-	-	-	-	1.37	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00
RB|RP	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	0.01	-	-	0.02	0.05	0.00	0.09	-	-	0.00	-	-	-	-	0.11	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	-	-	0.01	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	-	-	-	-	-	0.01	-	0.02	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-
PDT	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-
:	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	0.00	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBP	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
