------------------------------------------
Baseline:
Word Error Rate = 10.21233769578534
Known Word WER = 8.524753598755025
Unknown Word WER = 84.18902114052229
	RP	RB	PDT	JJ	VB	EX	CD	IN	NN	WDT	LS	VBN	VBD	VBG	VBP	NNP	VBZ	NNS	RBR	CC	UH	POS	NNPS	JJR	FW	DT	MD	RBS	JJS	PRP	WP	PRP$	SYM	NPS	TO	,
WRB	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.02	-	-	-
VBD|VBP	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 10.03443206897508
Known Word WER = 8.524753598755025
Unknown Word WER = 76.21247113163973
	RP	RB	PDT	JJ	VB	EX	CD	IN	NN	WDT	VBG	LS	VBN	VBD	VBP	NNP	VBZ	NNS	RBR	CC	UH	POS	RBS	NNPS	JJR	FW	DT	MD	JJS	PRP	WP	PRP$	SYM	NPS	TO	,
IN	3.20	1.92	-	0.16	-	-	-	-	0.00	5.05	-	-	-	-	0.00	0.00	-	-	-	0.03	-	-	-	-	-	0.15	0.04	-	-	-	-	-	-	-	-	-
JJ	0.07	1.10	1.13	-	0.44	-	0.00	0.06	4.31	-	0.86	1.16	1.66	0.16	0.04	0.65	-	0.05	0.15	-	0.01	-	0.01	0.57	0.01	0.01	0.00	-	0.01	0.01	-	-	-	-	0.00	-
NN	0.04	0.30	0.12	3.62	7.86	-	0.12	0.03	-	-	4.99	0.01	0.28	0.05	2.39	1.55	0.00	0.30	-	0.01	0.12	-	-	0.01	0.00	0.15	0.01	0.04	0.00	0.01	-	-	0.00	-	-	-
VBN	-	-	-	0.11	0.39	-	-	-	0.49	-	-	-	-	2.72	0.00	0.01	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	2.06	-	0.06	0.67	0.07	0.15	-	1.23	0.12	0.02	0.00	0.09	0.00	-	0.00	0.03	-	-	0.39	0.09	0.59	-	0.00	-	0.01	0.00	0.03	-	0.01	-	-	-	-	-	-	-
VBP	0.00	0.00	-	0.05	2.42	-	0.00	0.03	0.35	-	-	-	0.03	0.00	-	0.02	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
