------------------------------------------
Baseline:
Word Error Rate = 10.485420385955964
Known Word WER = 8.270156974669996
Unknown Word WER = 83.3342062536008
	NNS	JJ	RB	NN	VB	UH	WDT	RBS	VBP	JJR	POS	NNP	PDT	RBR	NNPS	IN	VBD	VBZ	LS	VBN	VBG	RP	CD	EX	JJS	PRP	CC	FW	DT	PRP$	SYM	MD	WP	TO	NPS	$
VBD	0.20	0.00	0.10	0.01	0.31	-	-	0.26	-	-	-	0.05	3.88	0.13	0.01	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	-	-
IN	0.19	-	0.01	-	0.08	-	2.56	-	-	-	0.00	0.04	-	0.00	0.00	2.01	-	0.20	-	0.53	-	-	-	-	-	0.04	-	-	-	-	0.05	-	0.00	-	-	-	-
JJS	0.12	0.00	-	-	0.01	-	-	0.03	0.00	-	0.00	-	0.00	-	0.00	-	0.22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	1.85	0.24	0.01	-	1.08	-	0.00	0.58	-	-	-	0.04	0.09	0.10	-	-	-	-	0.04	0.00	0.00	0.00	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	0.04	-
CC	-	0.00	-	-	0.00	0.01	0.11	-	0.00	-	-	-	-	-	-	-	-	-	-	0.07	-	0.02	0.02	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
RBR	0.01	-	-	-	0.01	0.00	0.23	0.00	0.91	-	0.00	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	0.12	0.00	0.00	-	0.06	-	0.01	0.02	-	-	-	-	0.01	0.00	0.00	-	-	-	-	-	-	-	0.62	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.22	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	0.00
PRP	0.00	0.00	0.00	-	0.01	-	-	0.05	-	-	-	-	-	-	0.01	-	-	-	-	-	0.01	-	-	-	0.01	-	-	0.07	-	-	0.00	-	-	-	-	-	-
SYM	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.00	-
FW	0.02	0.00	-	0.01	0.12	0.00	-	0.04	-	-	0.00	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
LS	0.00	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.09	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	0.00	0.01	-	0.05	-	0.00	0.00	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.09	0.35	-	-	1.54	-	0.00	0.12	-	-	0.00	-	0.00	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-
EX	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.00	-	-	-	-	-	0.00	0.00	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	0.02	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.01	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	0.01	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	0.00	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.00	0.00	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	0.00	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD|VB	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	0.00	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBP	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.997179136429327
Known Word WER = 3.7652578869578512
Unknown Word WER = 45.50882522390405
	JJ	NNS	VBP	UH	NNP	IN	RB	NN	JJR	NNPS	VBD	VBG	VBN	VB	CD	RP	RBS	WDT	PRP	DT	VBZ	PDT	RBR	JJS	POS	CC	SYM	PRP$	''	EX	FW	WP	TO	NPS	MD	LS	:
NN	6.77	0.79	0.17	0.11	6.06	0.01	0.15	-	0.00	0.00	0.09	1.30	0.23	0.51	0.35	0.01	-	-	0.04	0.01	0.05	0.01	0.00	-	-	0.00	0.00	-	-	-	0.04	-	0.00	0.03	0.02	0.00	-
VBZ	0.16	1.14	0.06	0.00	0.31	-	0.00	0.17	-	0.00	0.30	0.06	0.02	0.07	0.02	-	-	-	-	-	-	-	-	-	0.20	-	-	-	-	-	0.00	-	-	0.00	-	-	-
VBN	2.75	0.03	0.02	0.02	0.39	-	0.01	0.39	-	-	2.82	0.09	-	0.14	0.10	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
VB	0.27	-	1.55	0.03	0.34	0.03	0.04	0.87	0.02	-	0.10	0.05	0.19	-	0.20	0.00	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-
RB	1.48	0.02	0.03	0.03	0.56	2.87	-	0.62	0.04	-	0.02	0.02	0.17	0.08	0.04	1.66	-	0.00	-	0.13	0.00	0.04	0.39	0.00	-	0.05	-	-	-	0.07	0.00	-	-	0.00	-	-	-
VBG	1.42	0.01	0.05	0.01	0.47	-	0.00	1.87	-	-	0.05	-	0.24	0.12	0.12	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
DT	0.01	0.00	-	0.00	0.03	0.66	0.40	0.04	-	-	-	0.00	-	-	-	-	-	0.56	0.00	-	-	0.27	-	-	-	0.08	-	-	-	-	0.00	-	-	-	-	0.00	-
UH	0.00	-	-	-	0.04	-	0.03	0.01	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
NNS	0.86	-	0.02	0.05	2.45	-	0.06	2.90	-	0.44	0.04	0.00	0.21	0.06	0.16	-	-	-	-	-	0.64	-	-	-	-	-	-	-	-	-	0.02	-	-	0.02	-	-	-
RP	0.00	-	-	-	0.00	0.63	0.40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	-	0.09	0.05	0.14	3.50	0.11	1.36	2.90	0.00	-	0.11	0.34	2.00	0.28	0.65	0.04	-	-	0.00	0.02	0.01	0.11	0.00	0.01	-	0.00	-	0.00	-	-	0.04	-	0.00	0.02	-	-	-
NNP	2.72	0.32	0.02	0.09	-	0.05	0.11	2.00	-	1.85	0.04	0.02	0.13	0.12	0.29	-	0.00	-	0.01	0.11	0.03	-	-	0.00	0.00	0.00	-	0.00	-	-	0.29	-	-	0.01	0.00	0.01	-
VBP	0.09	0.00	-	-	0.15	0.01	0.01	0.79	0.00	-	0.20	0.02	0.09	1.99	0.01	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-
WDT	0.01	-	-	-	0.00	0.39	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-
VBD	0.20	0.00	0.10	0.01	0.30	-	-	0.26	-	-	-	0.05	3.87	0.13	0.01	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-
IN	0.19	-	0.01	-	0.08	-	2.56	-	-	-	0.00	0.04	-	0.00	0.00	2.01	-	0.20	-	0.53	-	-	-	-	-	0.04	-	-	-	-	0.05	-	0.00	-	-	-	-
JJS	0.12	0.00	-	-	0.01	-	-	0.03	0.00	-	0.00	-	0.00	-	0.00	-	0.22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	1.84	0.24	0.01	-	1.08	-	0.00	0.58	-	-	-	0.04	0.09	0.10	-	-	-	-	0.04	0.00	0.00	0.00	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	0.04	-
CC	-	0.00	-	-	0.00	0.01	0.11	-	0.00	-	-	-	-	-	-	-	-	-	-	0.07	-	0.02	0.02	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
RBR	0.01	-	-	-	0.01	0.00	0.23	0.00	0.91	-	0.00	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	0.12	0.00	0.00	-	0.06	-	0.01	0.02	-	-	-	-	0.01	0.00	0.00	-	-	-	-	-	-	-	0.62	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.22	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	0.00
PRP	0.00	0.00	0.00	-	0.01	-	-	0.05	-	-	-	-	-	-	0.01	-	-	-	-	-	0.01	-	-	-	0.01	-	-	0.07	-	-	0.00	-	-	-	-	-	-
SYM	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.00	-
FW	0.02	0.00	-	0.01	0.12	0.00	-	0.04	-	-	0.00	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
LS	0.00	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.09	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	0.00	0.01	-	0.05	-	0.00	0.00	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.09	0.35	-	-	1.54	-	0.00	0.12	-	-	0.00	-	0.00	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-
#	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.00	-	-	-	-	-	0.00	0.00	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	0.02	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.01	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	0.01	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	0.00	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.00	0.00	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	0.00	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD|VB	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	0.00	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBP	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
