Word Error Rate = 9.937543814624286
Known WER = 8.355191659121873
Unknown WER = 84.72396544929997
	VB	LS	VBN	NNPS	VBD	WDT	RB	NN	RBS	PDT	RBR	VBP	POS	DT	NNS	IN	RP	CC	VBG	NNP	JJ	UH	PRP$	VBZ	EX	JJR	FW	CD	TO	PRP	JJS	MD	SYM	NPS	WP	$	,
VB	0.11	0.02	0	0	0.97	0	0.05	1.77	0	0.00	0.25	0.12	0.31	0.04	0	0.12	0	0.00	0.01	0	0	0	0.00	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0
CD	0	0	0.00	0.09	0.50	0	0	0.01	0	0.23	1.57	0.06	0.92	0.03	0	0	0	0	0	0.06	0	0	0	0.00	0	0	0	0	0	0.02	0	0	0	0	0	0	0
VBZ	0.17	0	0	0.04	0.13	0	0.00	0.05	0	1.18	0.12	0.01	0.28	0.05	0	0.02	0	0	0	0	0.20	0.00	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0
RP	0	0.65	0	0	0	0	0.41	0	0	0	0.00	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNP	0.01	0.02	0.00	0.08	1.97	0	0.08	0.02	0.13	0.32	2.56	0.08	0	0.04	0	0.27	0.00	0.02	0.00	0.00	0.00	2.16	0.00	0.36	0.01	0.01	0	0	0.00	0.01	0	0.01	0.00	0	0	0	0.00
VBD	0	0	0.00	0.16	0.21	0	0	0.12	0	0.00	0.20	4.12	0.27	0.03	0	0.00	0	0.02	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0.00	0	0	0	0
CC	0	0.03	0	0	0.00	0	0.11	0	0.09	0.00	0	0	0.00	0	0.03	0	0	0	0.00	0	0	0	0	0.00	0	0	0.02	0	0	0	0	0	0	0	0	0	0
JJ	0.13	0.13	0.00	0.22	3.13	0	1.48	0.06	0.00	0.09	0	1.93	3.27	0.51	0.14	0.49	0.00	0.00	0.02	0.00	0	0	0.05	0.11	0.00	0.01	0.02	0.00	0	0.00	0	0.01	0	0	0	0	0
VBG	0.03	0	0	0.06	2.02	0	0.00	0.04	0	0.00	1.41	0.16	0.44	0	0	0.08	0	0.01	0	0	0	0	0	0.02	0	0	0	0	0	0.00	0	0	0	0	0	0	0
PRP	0	0	0	0	0.03	0	0	0	0	0.00	0.00	0	0.02	0	0	0.01	0.09	0.01	0	0	0.01	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0
RBR	0	0.00	0	0.00	0	0	0.24	0.00	0	0	0.02	0	0.00	0	0	0	0	0	1.03	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0
PRP$	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
''	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNPS	0.00	0	0.00	0	0.15	0	0	0	0	0.39	0.09	0.00	1.40	0	0	0.01	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0
UH	0	0	0	0.00	0.01	0	0.03	0	0	0	0.00	0.00	0.04	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
JJR	0	0	0	0.00	0.01	0	0.01	0	0	0.00	0.11	0.00	0.04	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0.74	0	0	0	0	0	0	0	0	0	0
WDT	0.00	0.42	0	0	0	0	0.00	0	0.03	0	0.00	0	0.00	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0
MD	0.01	0	0	0	0.00	0	0	0.01	0	0.00	0.00	0	0.04	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJS	0	0	0	0	0.02	0	0.00	0	0	0.00	0.11	0.00	0.00	0	0	0.00	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0.21	0	0	0	0	0	0	0	0
RBS	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0
PDT	0	0	0	0	0	0	0.00	0	0.00	0	0.00	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0
POS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0
VBN|JJ	0	0	0	0	0	0	0	0	0	0	0.00	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBR|JJR	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0
FW	0	0.01	0.00	0	0.03	0	0	0.00	0.00	0.00	0.01	0.00	0.09	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0
IN|JJ	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|NNS	0	0	0	0	0.00	0	0	0	0	0.01	0.00	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EX	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBD|VBP	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|VBG	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG|NN	0	0	0	0	0.01	0	0	0	0	0	0.00	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VB|NN	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|RP	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IN|RB	0	0.00	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS|NNPS	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG|JJ	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|JJ	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJR|RBR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0
VBD|VBN	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|NN	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|IN	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS|NN	0	0	0	0	0.00	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
,	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LS	0	0	0	0	0	0	0	0	0	0	0.00	0	0.01	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0
WRB	0.00	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|JJ	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBN|VBD	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS|VBZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|IN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
:	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|NNP	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYM	0	0	0	0	0	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VB|IN	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
``	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|CD	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBS|JJS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0
NNPS|NNS	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|JJR	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
$	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TO	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|POS	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|RB	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
------------------------
Word Error Rate = 4.483341221245401
Known WER = 3.6447041725793996
Unknown WER = 44.120033021314
	VBD	IN	NPS	VB	NN	WDT	RB	VBP	DT	NNS	JJ	VBN	NNP	VBG	PDT	CD	PRP$	VBZ	JJR	PRP	POS	NNPS	RP	FW	CC	JJS	RBR	TO	RBS	LS	EX	UH	MD	WP	''	SYM	,
VBP	0.15	0.02	0	2.12	0.77	0	0.01	0	0	0.00	0.06	0.08	0.15	0.00	0	0.01	0	0.00	0.00	0.00	0	0.00	0	0.00	0	0	0	0	0	0	0	0	0.00	0	0	0	0
RB	0.00	3.07	0.00	0.09	0.61	0	0	0.01	0.17	0.01	1.45	0.14	0.41	0.01	0.02	0.02	0	0.00	0.03	0	0	0	1.71	0.00	0.06	0.01	0.39	0	0.00	0.00	0.06	0.03	0	0	0	0	0
VBN	2.94	0	0.00	0.13	0.36	0	0.00	0.02	0	0.01	2.95	0	0.35	0.10	0	0.08	0	0.00	0	0	0	0	0	0.00	0	0	0	0	0	0.00	0	0	0	0	0	0	0
NN	0.08	0.01	0.01	0.57	0	0.00	0.17	0.24	0.01	0.72	6.97	0.14	5.78	1.44	0.01	0.30	0	0.04	0.00	0.06	0	0.00	0.00	0.12	0.00	0.00	0	0.00	0	0.00	0	0.00	0.01	0	0	0.00	0
NNS	0.00	0	0.01	0.04	2.24	0	0.05	0.02	0	0	0.81	0.13	2.04	0.00	0	0.15	0	0.68	0	0	0	0.56	0	0.04	0	0	0	0	0	0	0	0.00	0	0	0	0	0
IN	0.00	0	0	0.00	0.01	0.22	2.93	0.00	0.55	0	0.19	0	0.06	0.01	0	0.00	0	0.00	0	0	0	0	2.30	0.04	0.03	0	0	0.00	0	0	0	0	0	0	0	0.00	0
DT	0	0.72	0	0	0.06	0.54	0.39	0	0	0	0.03	0	0.02	0	0.30	0	0	0	0	0.00	0	0	0	0.00	0.11	0	0	0	0	0.00	0	0	0	0	0	0	0
VB	0.11	0.02	0	0	0.97	0	0.05	1.76	0	0.00	0.25	0.12	0.31	0.04	0	0.12	0	0.00	0.01	0	0	0	0.00	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0
CD	0	0	0.00	0.09	0.50	0	0	0.01	0	0.23	1.56	0.06	0.92	0.03	0	0	0	0	0	0.06	0	0	0	0.00	0	0	0	0	0	0.02	0	0	0	0	0	0	0
VBZ	0.17	0	0	0.04	0.13	0	0.00	0.05	0	1.17	0.12	0.01	0.28	0.05	0	0.02	0	0	0	0	0.20	0.00	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0
RP	0	0.65	0	0	0	0	0.41	0	0	0	0.00	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNP	0.01	0.02	0.00	0.08	1.97	0	0.08	0.02	0.12	0.31	2.55	0.07	0	0.04	0	0.27	0.00	0.02	0.00	0.00	0.00	2.15	0.00	0.36	0.01	0.01	0	0	0.00	0.01	0	0.01	0.00	0	0	0	0.00
VBD	0	0	0.00	0.15	0.21	0	0	0.12	0	0.00	0.19	4.11	0.27	0.03	0	0.00	0	0.02	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0.00	0	0	0	0
CC	0	0.03	0	0	0.00	0	0.11	0	0.09	0.00	0	0	0.00	0	0.03	0	0	0	0.00	0	0	0	0	0.00	0	0	0.02	0	0	0	0	0	0	0	0	0	0
JJ	0.13	0.13	0.00	0.22	3.12	0	1.47	0.06	0.00	0.09	0	1.92	3.26	0.51	0.14	0.49	0.00	0.00	0.02	0.00	0	0	0.05	0.11	0.00	0.01	0.02	0.00	0	0.00	0	0.01	0	0	0	0	0
VBG	0.03	0	0	0.06	2.02	0	0.00	0.04	0	0.00	1.41	0.16	0.44	0	0	0.08	0	0.01	0	0	0	0	0	0.02	0	0	0	0	0	0.00	0	0	0	0	0	0	0
PRP	0	0	0	0	0.03	0	0	0	0	0.00	0.00	0	0.02	0	0	0.01	0.09	0.01	0	0	0.01	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0
RBR	0	0.00	0	0.00	0	0	0.24	0.00	0	0	0.02	0	0.00	0	0	0	0	0	1.02	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0
PRP$	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
''	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNPS	0.00	0	0.00	0	0.15	0	0	0	0	0.39	0.09	0.00	1.40	0	0	0.01	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0
UH	0	0	0	0.00	0.01	0	0.03	0	0	0	0.00	0.00	0.04	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
JJR	0	0	0	0.00	0.01	0	0.01	0	0	0.00	0.11	0.00	0.04	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0.74	0	0	0	0	0	0	0	0	0	0
WDT	0.00	0.42	0	0	0	0	0.00	0	0.03	0	0.00	0	0.00	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0
MD	0.01	0	0	0	0.00	0	0	0.01	0	0.00	0.00	0	0.04	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJS	0	0	0	0	0.02	0	0.00	0	0	0.00	0.11	0.00	0.00	0	0	0.00	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0.21	0	0	0	0	0	0	0	0
RBS	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0
PDT	0	0	0	0	0	0	0.00	0	0.00	0	0.00	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0
#	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0
VBN|JJ	0	0	0	0	0	0	0	0	0	0	0.00	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBR|JJR	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0
FW	0	0.01	0.00	0	0.03	0	0	0.00	0.00	0.00	0.01	0.00	0.09	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0
IN|JJ	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|NNS	0	0	0	0	0.00	0	0	0	0	0.01	0.00	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EX	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBD|VBP	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|VBG	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG|NN	0	0	0	0	0.01	0	0	0	0	0	0.00	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VB|NN	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|RP	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IN|RB	0	0.00	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS|NNPS	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG|JJ	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|JJ	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJR|RBR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0
VBD|VBN	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|NN	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|IN	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS|NN	0	0	0	0	0.00	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
,	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LS	0	0	0	0	0	0	0	0	0	0	0.00	0	0.01	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0
WRB	0.00	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|JJ	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBN|VBD	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS|VBZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|IN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
:	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|NNP	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYM	0	0	0	0	0	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VB|IN	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
``	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|CD	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBS|JJS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0
NNPS|NNS	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|JJR	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
$	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TO	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|POS	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|RB	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
------------------------
