"Word Error Rate = 10.052616313455513"																						
"Known WER = 8.358903128677944"																						
"Unknown WER = 84.34602579034213"																						
	"NN"	"NNS"	"JJ"	"PDT"	"IN"	"VB"	"WDT"	"PRP"	"VBP"	"RB"	"VBN"	"VBG"	"RP"	"UH"	"NNP"	"VBD"	"RBR"	"NNPS"	"LS"	"POS"	"VBZ"	
"NNS"	0.81	0	0	0.01	0.13	2.24	2.45	0.03	0	0	0.03	0	0	0	0	0.55	0	0	0.03	0.01	0.15	0
"RB"	1.51	0.02	3.17	0	0.13	0.46	0.61	0	0.01	0	0.08	0.17	0.01	1.67	0.04	0	0.41	0	0	0.01	0.02	0
"VB"	0.21	0	0.02	0.09	0.14	0.3	0.89	0.04	0.04	0	0	0	0	0	0.03	0	0	0	0	1.78	0.15	0
"VBD"	0.22	0	0	0	4.12	0.28	0.2	0	0.04	0	0.13	0	0	0	0	0	0	0	0	0.1	0	0
"VBG"	1.42	0	0	0.04	0.15	0.44	2.03	0	0	0	0.09	0	0	0	0	0	0	0	0	0.04	0.09	0
"VBN"	2.97	0	0	3.06	0	0.34	0.36	0	0.09	0	0.11	0	0	0	0	0	0	0	0	0.01	0.08	0
"VBP"	0.09	0	0	0.16	0.08	0.1	0.78	0.01	0.02	0	2.17	0	0	0	0	0	0	0	0	0	0	0
"VBZ"	0.11	1.16	0	0.19	0.01	0.29	0.15	0	0.05	0	0.04	0	0	0	0	0	0	0	0	0.05	0.03	0
"------------------------"																						
"Word Error Rate = 4.574070658393552"																						
"Known WER = 3.674252295014125"																						
"Unknown WER = 44.0416391713382"																						
	"JJ"	"NNS"	"IN"	"VBD"	"VBN"	"NNP"	"NN"	"RB"	"VBG"	"WDT"	"VB"	"DT"	"PDT"	"RP"	"JJR"	"NNPS"	"RBR"	"PRP$"	"FW"	"VBP"	"CD"	","
"CD"	1.59	0.26	0	0	0.05	0.84	0.52	0	0.03	0	0.09	0	0	0	0	0	0	0	0	0	0	0
"DT"	0.03	0	0.67	0	0	0.01	0.06	0.42	0	0.57	0	0	0.31	0	0	0	0	0	0	0	0	0
"EX"	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IN"	0.2	0	0	0	0	0.07	0	2.7	0.01	0.21	0	0.5	0	2.14	0	0	0	0	0.06	0.01	0	0
"JJ"	0	0.08	0.14	0.1	1.89	3.22	3.11	1.52	0.48	0	0.26	0.01	0.12	0.04	0.01	0	0.01	0	0.1	0.07	0.58	0
"JJR"	0.1	0	0	0	0	0.04	0.02	0.01	0	0	0	0	0	0	0	0	0.74	0	0	0	0	0
"NN"	6.85	0.72	0.02	0.08	0.15	5.8	0	0.16	1.4	0	0.52	0	0	0	0	0	0	0	0.12	0.24	0.35	0
"NNP"	2.73	0.3	0.05	0.01	0.06	0	1.94	0.1	0.04	0	0.08	0.12	0	0	0	2.15	0	0	0.33	0.01	0.28	0
"NNPS"	0.1	0.41	0	0	0	1.32	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NNS"	0.81	0	0	0.01	0.13	2.24	2.44	0.03	0	0	0.03	0	0	0	0	0.55	0	0	0.03	0.01	0.15	0
"RB"	1.5	0.02	3.16	0	0.13	0.45	0.61	0	0.01	0	0.08	0.17	0.01	1.67	0.04	0	0.41	0	0	0.01	0.02	0
"VB"	0.21	0	0.02	0.09	0.14	0.29	0.89	0.04	0.04	0	0	0	0	0	0.03	0	0	0	0	1.77	0.15	0
"VBD"	0.22	0	0	0	4.11	0.28	0.2	0	0.04	0	0.13	0	0	0	0	0	0	0	0	0.1	0	0
"VBG"	1.41	0	0	0.04	0.15	0.44	2.02	0	0	0	0.09	0	0	0	0	0	0	0	0	0.04	0.09	0
"VBN"	2.96	0	0	3.05	0	0.34	0.36	0	0.09	0	0.11	0	0	0	0	0	0	0	0	0.01	0.08	0
"VBP"	0.09	0	0	0.15	0.08	0.1	0.78	0.01	0.02	0	2.16	0	0	0	0	0	0	0	0	0	0	0
"VBZ"	0.11	1.16	0	0.19	0.01	0.29	0.15	0	0.05	0	0.04	0	0	0	0	0	0	0	0	0.05	0.03	0
"------------------------"																						
