------------------------------------------
Baseline:
Word Error Rate = 9.858510163571175
Known Word WER = 8.182762119769995
Unknown Word WER = 84.68563400070249
	NN	NNS	JJ	PDT	IN	VBD	VB	POS	VBZ	UH	VBP	NNP	LS	VBN	RB	NNPS	WDT	RBS	RBR	RP	PRP$	VBG	CD	DT	MD	EX	CC	FW	PRP	JJR	JJS	WP	NPS	$	SYM	TO
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-
VB|IN	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBP	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|VBZ	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	0.00	-	-	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-
VBG|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|POS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 9.707326080600735
Known Word WER = 8.182762119769995
Unknown Word WER = 77.78363189322094
	NN	NNS	JJ	PDT	IN	VBD	VB	POS	VBZ	UH	VBP	NNP	LS	VBN	RB	NNPS	WDT	RBS	RBR	RP	PRP$	VBG	CD	DT	MD	EX	CC	FW	PRP	JJR	JJS	WP	NPS	$	SYM	TO
NNP	5.22	0.13	0.98	0.00	0.03	-	0.03	0.01	0.01	0.01	0.06	-	0.45	0.17	0.08	2.42	-	0.02	0.01	0.02	-	0.08	0.05	0.09	0.01	-	0.00	0.12	0.01	0.03	0.01	-	-	0.00	-	-
VBZ	0.26	0.83	-	-	-	-	-	1.18	-	-	-	0.00	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	-	0.41	3.60	0.19	0.04	0.04	8.16	-	-	0.17	1.70	1.58	0.02	0.30	0.17	0.01	-	0.00	-	0.03	-	4.33	0.10	0.02	0.03	-	-	0.21	0.01	0.00	0.01	-	-	-	-	-
RP	-	-	0.00	-	0.18	-	0.00	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.54	-	0.13	-	-	2.93	0.21	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	1.55	0.00	0.17	-	0.06	0.03	-	-	-	0.00	3.82	0.03	-	0.34	-	-	-	-	0.00	0.02	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-
NNS	1.70	-	0.02	-	-	0.00	-	-	1.42	-	-	0.17	-	0.00	-	1.38	-	-	-	-	-	-	0.09	-	-	-	-	-	-	-	-	-	0.01	-	-	-
DT	-	-	0.00	1.41	-	-	-	-	-	0.74	-	-	-	-	-	-	1.25	-	-	-	-	-	-	-	-	-	0.04	0.01	0.00	-	-	-	-	-	-	-
VBP	0.37	-	0.04	-	0.01	0.01	2.40	-	-	-	-	0.01	-	0.03	0.00	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	4.62	0.07	-	0.93	0.06	0.17	0.53	-	-	0.01	0.03	1.17	0.03	1.65	1.29	0.51	-	0.01	0.13	0.04	-	0.96	0.01	-	-	-	0.00	0.01	-	0.01	0.00	-	-	-	-	-
''	-	-	-	-	-	-	-	0.09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	0.04	0.01	0.02	0.00	-	-	-	-	-	-	-	3.16	1.74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
VBD	0.36	-	0.02	-	-	-	0.14	-	-	-	-	0.03	-	6.53	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
JJS	0.00	-	0.01	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.59	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	0.15	-	0.80	0.11	1.25	-	0.08	-	-	0.61	-	0.02	0.01	-	-	-	0.01	-	0.39	1.97	-	-	-	0.02	-	0.16	0.06	-	-	0.02	0.01	-	-	-	-	-
JJR	0.05	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	1.61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	-	-	0.15	-	-	-	0.00	-	-	-	0.00	0.00	-	-	1.87	-	5.08	-	-	3.30	-	-	-	0.03	-	-	0.01	0.13	-	-	-	-	-	-	-	0.00
PRP	0.00	-	-	-	-	-	-	0.00	0.00	-	-	0.01	-	-	-	-	-	-	-	-	0.09	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	0.00	-	0.02	0.00	-	-	-	-	-	-	-	-	-	0.04	-	-	-	0.00	-	-	-	0.00	0.02	-	-	-	0.00	-	-	-	-	-	-	-	-
RBR	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.19	-	-	-	-	-	-
VBG	0.30	-	0.05	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.03	-	-	-	-
NNPS	-	0.08	0.01	-	-	-	-	-	-	-	-	0.11	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
UH	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
RB|RP	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	0.08	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-
NN|NNS	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD|VB	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-
