------------------------------------------
Baseline:
Word Error Rate = 10.093138038448194
Known Word WER = 8.42085117580919
Unknown Word WER = 83.74012291483758
	POS	VBP	RB	NN	JJ	NNP	PDT	RBR	NNPS	RP	VB	EX	VBG	WDT	VBD	CC	VBN	UH	VBZ	PRP$	LS	IN	NNS	RBS	JJS	MD	CD	JJR	DT	FW	PRP	$	WP	SYM	TO
IN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	0.00	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|DT	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 9.934074331094225
Known Word WER = 8.42085117580919
Unknown Word WER = 76.57594381035997
	POS	VBP	RB	NN	JJ	VBG	NNP	PDT	RBR	NNPS	RP	VB	EX	WDT	VBD	CC	VBN	UH	VBZ	PRP$	LS	IN	NNS	RBS	JJS	MD	CD	JJR	DT	FW	PRP	$	WP	SYM	TO
VBZ	1.31	0.00	-	0.34	-	-	0.02	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	0.87	-	-	-	-	-	-	-	-	-	-	-	-
VB	-	4.05	0.00	1.67	0.18	-	0.04	-	0.00	0.00	0.01	-	-	-	0.01	-	0.20	0.00	-	-	-	0.07	-	0.00	-	-	-	0.02	-	-	-	-	-	-	-
JJ	-	0.08	1.27	4.52	-	0.96	0.79	0.85	0.12	0.42	0.07	0.47	-	-	0.17	0.00	1.62	-	-	0.00	0.25	0.04	0.03	0.01	0.00	-	0.01	0.02	-	0.01	0.00	-	-	-	-
VBN	-	0.00	-	0.54	0.15	-	0.02	-	-	-	-	0.35	-	-	2.83	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	-	2.11	0.27	-	3.72	5.23	1.62	0.18	-	0.02	0.05	7.35	-	-	0.06	0.00	0.26	0.14	0.01	-	0.06	0.02	0.34	0.00	0.00	0.03	0.14	0.01	-	0.27	0.01	-	-	0.00	-
NNP	-	0.01	0.09	4.97	1.27	0.09	-	-	0.01	2.25	0.02	0.07	-	-	0.00	0.00	0.14	0.00	0.00	0.01	0.41	0.03	0.09	-	0.05	0.01	0.05	0.02	0.05	0.10	0.00	0.01	-	-	-
IN	-	-	2.13	0.01	0.18	0.00	0.00	-	-	-	3.34	0.00	-	4.96	-	0.03	-	-	-	-	-	-	-	-	0.00	-	-	-	0.02	0.16	-	-	-	-	0.00
RB	-	0.00	-	0.13	0.84	-	0.02	0.09	0.41	-	1.96	0.09	0.17	0.00	0.00	0.10	0.00	0.60	-	-	0.01	1.29	-	0.00	0.01	-	-	0.02	0.03	-	-	-	-	-	-
DT	-	-	-	-	0.02	-	-	1.49	-	-	-	-	-	1.11	-	0.05	-	0.78	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	-	0.00	0.06	-	-	-	-	1.55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	0.00	-	0.33	0.01	-	0.02	-	-	-	-	0.20	-	-	-	-	6.29	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
CD	-	-	-	0.02	0.01	-	2.91	-	-	-	-	-	-	-	-	-	0.00	-	-	-	1.58	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	-	-	1.83	0.01	0.00	0.14	-	-	1.40	-	-	-	-	-	-	0.00	-	1.44	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-
PRP	-	-	-	0.00	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	0.00	0.10	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-
RP	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.20	-	-	-	-	-	-	-	-	-	-	-	-	-
