------------------------------------------
Baseline:
Word Error Rate = 9.915856496796943
Known Word WER = 8.439331141917965
Unknown Word WER = 83.56435643564356
	VB	LS	VBN	NNPS	VBD	WDT	RB	NN	RBS	PDT	RBR	VBP	POS	DT	NNS	IN	RP	CC	VBG	NNP	JJ	UH	PRP$	VBZ	EX	JJR	FW	CD	TO	PRP	JJS	MD	SYM	NPS	WP
VBP	2.39	-	0.03	-	0.01	-	-	0.46	-	-	-	-	-	-	-	0.03	-	-	-	0.02	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	1.66	-	-	-	-	-	2.64	-	-	-	-	-	-	-	-	-	-	-	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNP	0.03	0.32	0.00	1.86	0.00	-	0.04	5.76	-	0.00	0.02	0.02	0.00	0.06	0.10	0.02	0.01	0.01	0.03	-	1.21	0.00	-	0.01	-	0.02	0.37	0.05	-	-	0.03	-	-	-	-
VBN	0.38	-	-	-	2.74	-	-	0.47	-	-	-	-	-	-	-	-	-	-	-	0.02	0.21	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
IN	-	-	-	-	-	5.43	1.97	0.01	-	-	-	-	-	0.01	-	-	3.24	0.05	-	-	0.18	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-
JJ	0.45	0.25	1.77	0.45	0.21	-	1.20	4.61	-	0.80	0.18	0.02	-	0.01	0.07	0.05	0.07	-	0.56	0.78	-	0.00	-	-	-	0.02	0.00	0.02	-	-	0.00	-	-	-	-
JJS	-	-	-	-	-	-	-	0.05	0.42	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	-	-	0.21	-	0.03	-	0.00	1.65	-	-	-	3.54	-	-	-	0.06	0.03	-	-	0.04	0.20	-	-	-	-	0.02	-	-	-	-	-	0.00	-	-	-
NNS	-	-	-	0.91	-	-	-	1.69	-	-	-	-	-	-	-	-	-	-	-	0.08	0.01	-	-	1.27	-	-	-	0.09	-	-	-	-	-	0.00	-
NN	8.56	0.04	0.26	0.00	0.02	0.00	0.24	-	-	0.15	-	1.83	-	0.01	0.23	0.02	0.03	0.01	4.69	1.36	3.72	0.18	-	0.00	-	0.02	0.25	0.09	0.00	0.06	-	0.03	0.01	-	-
DT	-	-	-	-	-	1.17	-	-	-	1.55	-	-	-	-	-	-	-	0.09	-	-	0.00	0.73	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	-	-	-	-	-	-	-	0.40	-	-	-	-	1.16	-	0.94	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.18	-	6.56	-	-	-	-	0.29	-	-	-	-	-	-	-	-	-	-	-	0.00	0.03	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-
RB	0.10	0.04	0.00	-	-	0.01	-	0.54	0.00	0.13	0.38	-	-	0.00	-	1.16	2.08	0.08	-	0.03	0.80	0.61	-	-	0.14	0.02	-	-	-	-	-	-	-	-	-
VBG	-	-	-	-	-	-	-	0.83	-	-	-	-	-	-	-	-	-	-	-	0.00	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	0.18	-	-	-	-	0.03	-	-	-	-	-	-	-
JJR	-	-	-	-	-	-	-	0.05	-	-	1.55	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	-	-	-	-	0.06	-	-	0.03	0.01	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	-	-	-	-	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.17	-	-	-	-	-	-	-	-	-
UH	-	-	-	-	-	-	0.00	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	-	-	-	-	-	-	-	0.17	-	-	-	-	-	-	0.06	-	-	-	-	0.04	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-
VBN|JJ	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02
VBD|VBP	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|VBG	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 9.769519969487277
Known Word WER = 8.439331141917965
Unknown Word WER = 76.11881188118812
	VB	LS	VBN	NNPS	VBD	WDT	RB	NN	RBS	VBG	PDT	RBR	VBP	POS	DT	NNS	IN	RP	CC	NNP	JJ	UH	PRP$	VBZ	EX	JJR	FW	CD	TO	PRP	JJS	MD	SYM	NPS	WP
VBP	2.43	-	0.03	-	0.01	-	-	0.46	-	-	-	-	-	-	-	-	0.03	-	-	0.03	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	1.68	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	2.68	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNP	0.03	0.32	0.12	2.21	0.00	-	0.07	4.72	-	0.07	0.00	0.02	0.02	0.00	0.06	0.10	0.02	0.01	0.01	-	1.23	0.00	-	0.01	-	0.02	0.38	0.05	-	-	0.03	-	-	-	-
VBN	0.39	-	-	-	2.78	-	-	0.46	-	-	-	-	-	-	-	-	-	-	-	0.02	0.22	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
IN	-	-	-	-	-	5.52	2.00	0.01	-	-	-	-	-	-	0.01	-	-	3.29	0.05	-	0.19	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-
JJ	0.46	0.26	1.82	0.47	0.21	-	1.26	4.20	0.03	0.84	0.82	0.19	0.02	-	0.01	0.07	0.05	0.07	-	0.90	-	0.00	-	-	-	0.02	0.00	0.02	-	-	0.00	-	-	-	-
JJS	-	-	-	-	-	-	-	0.00	0.47	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	-	-	0.23	-	0.03	-	0.00	1.64	-	0.00	-	-	3.59	-	-	-	0.06	0.03	-	0.06	0.20	-	-	-	-	0.02	-	-	-	-	-	0.00	-	-	-
NNS	-	-	0.00	1.17	-	-	-	1.41	-	-	-	-	-	-	-	-	-	-	-	0.12	0.01	-	-	1.29	-	-	-	0.09	-	-	-	-	-	0.00	-
NN	8.69	0.04	0.27	0.02	0.02	0.00	0.24	-	-	4.94	0.15	-	1.86	-	0.01	0.23	0.02	0.03	0.01	1.53	3.78	0.19	-	0.00	-	0.02	0.26	0.09	0.00	0.06	-	0.03	0.01	-	-
DT	-	-	-	-	-	1.19	-	-	-	-	1.57	-	-	-	-	-	-	-	0.09	-	0.00	0.74	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	-	-	-	0.03	-	-	-	0.37	-	-	-	-	-	1.17	-	0.96	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.19	-	6.66	-	-	-	-	0.27	-	-	-	-	-	-	-	-	-	-	-	0.03	0.03	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-
RB	0.11	0.04	0.00	0.00	-	0.01	-	0.16	0.01	-	0.13	0.39	-	-	0.00	-	1.18	2.11	0.08	0.03	0.81	0.62	-	-	0.15	0.02	-	-	-	-	-	-	-	-	-
PRP	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	0.19	-	-	-	-	0.03	-	-	-	-	-	-	-
