------------------------------------------
Baseline:
Word Error Rate = 10.666612455275603
Known Word WER = 8.452390544177128
Unknown Word WER = 83.36154904242937
	NN	WDT	JJ	RBS	VBD	VB	VBP	JJR	UH	RB	RBR	VBZ	POS	NNS	PDT	IN	LS	VBN	RP	NNPS	NNP	VBG	CC	DT	JJS	FW	CD	PRP$	EX	SYM	MD	WP	PRP	NPS	$	TO
VBN|VBD	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	0.00	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
