------------------------------------------
Baseline:
Word Error Rate = 10.800970873786406
Known Word WER = 8.51213450642885
Unknown Word WER = 84.25398779299378
	NN	NNS	JJ	PDT	IN	VBD	VBN	RB	RP	VB	VBG	NNP	WDT	CD	EX	RBS	VBP	RBR	POS	DT	NNPS	LS	CC	UH	VBZ	JJR	PRP$	FW	JJS	MD	PRP	WP	TO	SYM
RBR	0.01	-	-	-	0.00	0.00	-	0.19	0.01	-	-	-	-	-	-	-	0.77	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
JJR	0.09	0.00	-	-	-	0.02	0.02	0.01	0.05	-	0.00	-	-	-	-	-	-	-	-	-	0.75	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	0.00	0.02	-	-	-	-	0.10	0.00	-	0.00	-	-	-	-	0.05	0.00	-	-	-	0.03	-	0.02	-	-	0.00	-	-	-	-	-	-	-	-	-
PRP	0.00	0.00	-	-	-	-	0.03	-	0.04	-	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	0.06	-	0.00	0.00	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-
MD	0.00	0.00	-	0.00	0.01	-	0.00	0.00	0.04	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	0.01	-	0.46	-	-	-	-	-	0.00	-	0.00	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-
UH	0.00	-	-	-	-	0.00	0.01	0.02	0.03	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.09	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00
FW	0.03	0.00	0.01	-	-	0.00	0.04	0.00	0.13	-	-	0.00	-	-	0.00	0.00	-	0.00	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-
WP	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
VBN|JJ	0.00	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
VBG|NN	-	-	-	0.02	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.00	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	0.00	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|JJR	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.00	0.00	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
,	-	0.00	-	-	-	-	0.00	-	0.00	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.00	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|VBN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-
VBD|VBP	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|DT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NNP	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
NN|CD	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 5.007191657677095
Known Word WER = 3.776440598054963
Unknown Word WER = 44.50428271016054
	JJ	NNS	IN	VBG	VBD	VBN	NN	RB	NNP	RP	CD	VB	RBS	WDT	VBP	DT	JJR	PRP	VBZ	UH	RBR	NNPS	PDT	PRP$	JJS	FW	POS	CC	LS	EX	WP	TO	SYM	MD	''
NNP	2.95	0.34	0.03	0.05	0.04	0.12	2.22	0.10	-	0.00	0.34	0.09	-	-	0.02	0.15	0.00	0.01	0.03	0.00	-	1.87	-	0.00	0.01	0.29	0.01	0.00	0.00	-	-	-	-	-	-
VBZ	0.16	1.07	-	0.10	0.22	0.02	0.22	-	0.34	-	0.04	0.05	-	-	0.05	-	-	-	-	-	-	0.00	-	-	-	0.00	0.20	-	-	-	-	-	0.00	-	-
NN	6.36	0.72	0.02	1.29	0.10	0.19	-	0.15	5.84	0.00	0.36	0.48	-	-	0.20	0.01	0.00	0.06	0.08	0.00	-	-	0.00	-	-	0.08	-	0.00	-	-	-	0.00	-	0.01	-
RP	0.00	-	0.62	-	-	-	-	0.34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	1.44	0.06	2.94	0.03	0.01	0.14	0.66	-	0.63	1.57	0.05	0.08	-	-	0.03	0.17	0.05	-	0.01	0.19	0.40	-	0.03	-	0.00	0.00	-	0.06	0.00	0.08	-	-	-	-	-
VBN	2.76	0.03	-	0.13	2.78	-	0.42	0.01	0.50	-	0.10	0.10	-	-	0.02	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.10	0.01	0.01	0.03	0.19	0.09	0.83	0.01	0.17	-	0.01	2.02	-	-	-	-	0.00	0.00	0.02	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
JJ	-	0.11	0.11	0.43	0.11	1.86	3.30	1.46	3.53	0.04	0.69	0.22	-	-	0.04	0.02	0.01	0.01	0.01	0.02	0.00	-	0.11	-	0.01	0.04	-	0.00	0.01	-	-	-	-	-	-
IN	0.17	-	-	0.02	0.00	-	0.00	2.44	0.07	2.17	-	0.01	-	0.19	0.00	0.48	-	-	0.00	-	-	-	-	-	-	0.07	-	0.04	-	-	-	0.00	-	-	-
NNS	0.92	-	-	0.02	0.02	0.18	2.93	0.07	2.54	-	0.17	0.05	-	-	0.03	-	-	-	0.65	-	-	0.46	-	-	-	0.02	-	-	-	-	-	-	-	-	-
VB	0.26	0.00	0.02	0.08	0.12	0.20	0.91	0.03	0.28	0.00	0.20	-	-	-	1.62	0.00	0.03	-	0.00	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
VBG	1.41	0.01	-	-	0.07	0.25	1.85	0.00	0.48	-	0.09	0.09	-	-	0.05	-	-	-	0.06	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
JJS	0.08	0.00	-	-	-	0.00	0.03	0.00	0.01	-	-	-	0.23	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.03	0.00	0.63	0.00	-	-	0.05	0.39	0.02	-	-	-	-	0.50	-	-	-	0.00	-	-	-	-	0.27	-	-	0.01	-	0.13	-	-	-	-	-	-	-
NNPS	0.10	0.34	-	-	0.00	0.01	0.20	0.00	1.25	-	0.01	0.00	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.22	0.01	0.00	0.07	-	3.88	0.23	-	0.34	-	0.02	0.12	-	-	0.13	-	-	-	0.09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-
CD	1.63	0.26	-	0.04	-	0.08	0.52	0.00	1.04	-	-	0.13	-	-	0.01	0.00	-	0.07	0.00	-	-	-	0.00	-	-	0.00	-	-	0.01	-	-	-	-	-	-
RBR	0.01	-	-	-	0.00	0.00	-	0.19	0.01	-	-	-	-	-	-	-	0.77	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
JJR	0.09	0.00	-	-	-	0.02	0.02	0.01	0.05	-	0.00	-	-	-	-	-	-	-	-	-	0.74	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	0.00	0.02	-	-	-	-	0.10	0.00	-	0.00	-	-	-	-	0.05	0.00	-	-	-	0.03	-	0.02	-	-	0.00	-	-	-	-	-	-	-	-	-
PRP	0.00	0.00	-	-	-	-	0.03	-	0.04	-	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	0.06	-	0.00	0.00	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-
MD	0.00	0.00	-	0.00	0.01	-	0.00	0.00	0.04	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	0.01	-	0.46	-	-	-	-	-	0.00	-	0.00	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-
UH	0.00	-	-	-	-	0.00	0.01	0.02	0.03	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.09	-	-	-	-	-	-	-	-	-	-
#	-	-	-	-	-	-	-	-	0.01	-	0.22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00
FW	0.03	0.00	0.01	-	-	0.00	0.04	0.00	0.13	-	-	0.00	-	-	0.00	0.00	-	0.00	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-
WP	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
VBN|JJ	0.00	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
VBG|NN	-	-	-	0.02	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.00	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	0.00	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|JJR	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.00	0.00	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
,	-	0.00	-	-	-	-	0.00	-	0.00	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.00	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|VBN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-
VBD|VBP	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|DT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NNP	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
NN|CD	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
