------------------------------------------
Baseline:
Word Error Rate = 10.800970873786406
Known Word WER = 8.51213450642885
Unknown Word WER = 84.25398779299378
	NN	NNS	JJ	PDT	IN	VBD	VBN	RB	RP	VB	VBG	NNP	WDT	CD	EX	RBS	VBP	RBR	POS	DT	NNPS	LS	CC	UH	VBZ	JJR	PRP$	FW	JJS	MD	PRP	WP	TO	SYM
NN|JJ	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|JJR	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
RB|JJ	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	0.00	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|VBN	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00
VBD|VBP	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|DT	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NNP	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 10.577626504978364
Known Word WER = 8.51213450642885
Unknown Word WER = 76.86310714468893
	NN	NNS	JJ	PDT	IN	VBD	VBN	RB	RP	NNPS	VB	VBG	NNP	WDT	CD	EX	RBS	VBP	RBR	POS	DT	LS	CC	UH	VBZ	JJR	PRP$	FW	JJS	MD	PRP	WP	TO	SYM
NNP	6.72	0.11	1.17	0.00	0.03	0.00	0.13	0.08	0.02	2.22	0.03	0.12	-	-	0.03	-	0.01	0.04	0.01	0.00	0.09	0.31	0.00	0.00	0.00	0.02	0.00	0.07	0.04	0.01	0.01	-	-	-
VBZ	0.43	0.70	-	-	-	-	-	-	-	0.05	-	-	0.01	-	-	-	-	0.00	-	1.10	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	-	0.26	3.27	0.13	0.04	0.02	0.29	0.23	0.03	0.02	7.23	4.84	1.43	-	0.13	-	0.01	2.16	-	-	0.01	0.06	0.01	0.02	0.00	0.01	-	0.20	0.00	0.03	0.01	-	0.00	-
RP	0.00	-	0.00	-	0.17	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.77	-	0.18	-	-	3.05	-	-	-	-	0.21	-	0.02	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
VBP	0.41	-	0.06	-	0.02	0.00	0.06	0.00	0.00	0.00	2.21	-	0.01	-	0.00	-	-	-	-	-	-	-	0.00	-	0.00	0.00	-	-	-	-	0.00	-	-	-
JJ	5.25	0.05	-	1.06	0.10	0.18	1.57	1.17	0.05	0.43	0.49	0.83	0.76	-	0.01	-	0.02	0.03	0.14	-	0.00	1.02	0.00	0.01	-	0.02	-	0.01	0.01	0.00	0.00	-	-	-
