------------------------------------------
Baseline:
Word Error Rate = 9.861167504763095
Known Word WER = 8.35809954823237
Unknown Word WER = 83.52206169465053
	RP	RB	PDT	JJ	VB	EX	VBP	POS	NNP	NN	VBD	WDT	VBG	NNPS	VBN	NNS	VBZ	IN	LS	RBR	FW	CD	PRP$	CC	UH	JJR	MD	RBS	DT	WP	PRP	JJS	$	NPS	SYM	,
IN	3.38	2.12	-	0.15	-	-	0.00	-	-	0.00	-	4.83	-	-	-	-	-	-	-	-	0.16	-	-	0.01	-	-	-	-	0.03	-	-	-	-	-	0.00	-
JJ	0.03	1.10	1.09	-	0.53	-	0.04	-	0.61	4.56	0.15	-	0.47	0.45	1.61	0.03	-	0.03	0.31	0.15	0.01	0.03	-	-	0.03	0.01	-	-	-	-	-	0.01	-	-	-	-
NN	0.01	0.34	0.09	3.63	8.08	-	1.75	-	1.33	-	0.07	-	4.98	-	0.27	0.37	0.00	0.03	0.03	-	0.27	0.14	-	-	0.15	0.03	0.02	-	0.03	-	0.03	0.00	-	-	0.00	-
VBN	-	-	-	0.19	0.40	-	-	-	0.00	0.56	2.70	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	1.93	-	0.12	0.79	0.11	0.17	0.00	-	0.00	0.52	0.00	0.03	-	-	-	-	-	1.23	0.03	0.34	-	-	-	0.04	0.62	0.00	-	-	0.00	-	-	0.01	-	-	-	-
DT	-	-	1.66	-	-	-	-	-	-	-	-	1.30	-	-	-	-	-	-	-	-	0.00	-	-	0.04	0.75	-	-	-	-	-	-	-	-	-	-	-
VB	0.02	-	-	0.24	-	-	3.59	-	0.03	1.53	0.01	-	-	-	0.19	0.00	-	0.03	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	0.15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	-	-	-	0.00	2.28	-	-	-	0.01	0.39	0.01	-	-	-	0.03	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNP	0.01	0.04	-	1.27	0.07	-	0.03	0.00	-	5.92	-	-	0.03	1.72	0.01	0.11	-	0.01	0.63	0.00	0.25	0.05	0.00	-	-	0.04	0.02	-	0.06	-	0.00	0.09	0.02	-	-	0.00
CD	-	-	-	0.01	-	-	-	-	0.00	2.80	-	-	-	-	-	-	-	-	1.56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	-	-	0.02	-	-	-	0.00	0.04	1.74	-	-	-	1.02	-	-	1.39	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-
VBD	-	-	-	0.03	0.21	-	-	-	-	0.37	-	-	-	-	6.49	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	-	-	-	-	-	-	-	1.34	-	0.36	-	-	-	0.00	-	0.86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	0.07	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	0.00	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	1.71	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
