------------------------------------------
Baseline:
Word Error Rate = 10.178863879632818
Known Word WER = 8.496456424857637
Unknown Word WER = 83.95250212044105
	NN	NNS	JJ	PDT	IN	CD	RP	EX	WDT	RBS	VB	RB	NNPS	UH	RBR	VBD	VBN	VBP	CC	VBG	VBZ	NNP	POS	LS	FW	DT	JJR	JJS	PRP	MD	PRP$	WP	SYM	$
VB|NN	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 10.031733304083724
Known Word WER = 8.496456424857637
Unknown Word WER = 77.35368956743002
	NN	NNS	JJ	PDT	IN	CD	RP	EX	WDT	RBS	VB	VBG	RB	NNPS	UH	NNP	RBR	VBD	VBN	VBP	CC	VBZ	POS	LS	FW	DT	JJR	JJS	PRP	MD	PRP$	WP	SYM	$
NNP	5.45	0.09	1.28	-	0.03	0.03	0.04	-	-	0.00	0.03	0.08	0.06	2.37	-	-	0.01	0.00	0.15	0.01	0.00	0.00	0.00	0.39	0.26	0.09	0.01	0.06	0.01	0.01	-	-	-	0.00
VBZ	0.34	0.82	-	-	-	-	-	-	-	-	-	-	-	0.03	-	0.01	-	-	-	-	-	-	1.11	-	-	-	-	-	-	-	-	-	-	-
NN	-	0.35	3.43	0.15	0.04	0.16	0.02	-	-	0.00	7.97	5.21	0.26	0.03	0.11	1.47	0.00	0.04	0.23	1.65	0.01	0.00	-	0.03	0.29	0.00	0.00	0.01	0.01	0.02	-	-	0.01	-
RP	-	-	-	-	0.20	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.36	-	0.06	-	0.02	0.00	-	-	-	-	2.42	-	0.00	-	-	0.01	-	0.00	0.06	-	0.00	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-
IN	0.00	-	0.19	-	-	-	3.21	-	5.06	-	0.00	0.00	1.93	-	-	0.01	-	-	-	0.00	0.02	-	-	-	0.13	0.05	-	-	-	-	-	-	-	-
RB	0.16	0.00	0.62	0.07	1.16	-	1.95	0.12	0.01	-	0.09	0.00	-	-	0.65	0.02	0.38	-	-	0.00	0.06	-	-	0.13	0.00	0.02	0.04	0.01	-	-	-	-	-	-
