------------------------------------------
Baseline:
Word Error Rate = 9.89893939935007
Known Word WER = 8.17950840963699
Unknown Word WER = 84.97253234095339
	NN	NNS	JJ	PDT	IN	VBG	VB	RP	WDT	RBR	VBP	POS	DT	LS	VBN	VBD	RB	CC	UH	NNPS	PRP$	VBZ	CD	JJR	NNP	FW	EX	RBS	JJS	MD	PRP	WP	SYM	NPS
WRB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
NN|NNS	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
PDT	-	-	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 9.738639114063176
Known Word WER = 8.17950840963699
Unknown Word WER = 77.81321991848309
	NN	NNS	JJ	PDT	IN	VBG	VB	RP	NNPS	WDT	RBR	VBP	POS	DT	LS	VBN	VBD	NNP	RB	CC	UH	PRP$	VBZ	CD	JJR	FW	EX	RBS	JJS	MD	PRP	WP	SYM	NPS
NNP	5.17	0.12	1.39	-	0.04	0.09	0.05	0.03	2.29	-	-	0.02	0.00	0.08	0.38	0.15	0.01	-	0.07	0.01	0.00	0.00	0.00	0.02	0.04	0.13	-	0.00	0.04	0.01	0.01	-	-	-
VBZ	0.37	0.74	-	-	-	-	-	-	0.03	-	-	0.00	1.35	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	-	0.38	3.85	0.14	0.04	4.16	7.59	0.04	0.03	-	-	1.71	-	0.01	0.04	0.34	0.05	1.57	0.27	0.01	0.14	-	-	0.18	0.02	0.24	-	0.00	0.00	0.04	0.00	-	0.00	-
RP	-	-	-	-	0.21	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.44	-	0.07	-	0.02	-	2.55	-	-	-	-	-	-	-	-	0.03	0.01	0.00	0.00	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-
