------------------------------------------
Baseline:
Word Error Rate = 10.55071671167154
Known Word WER = 8.293629758223245
Unknown Word WER = 83.89799635701274
	NNS	JJ	RB	NN	VBD	VB	UH	WDT	RBS	VBP	RBR	VBZ	POS	PDT	IN	VBG	RP	PRP	NNP	VBN	CD	EX	DT	LS	NNPS	CC	FW	PRP$	JJR	MD	JJS	WP	TO	SYM	,
MD	-	0.00	0.01	-	-	-	-	0.00	0.04	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.01	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	0.00	-	-	-	-	-	-	-	-	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
:	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	0.00	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	0.01	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	0.00	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	0.00	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-
$	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.00	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP$	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	-	-	-	-	-	-	0.00	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	0.00	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|POS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.972235773747192
Known Word WER = 3.7428393434536744
Unknown Word WER = 44.92323705438459
	JJ	NNS	VBP	UH	VB	IN	RB	NN	NNP	VBD	VBN	VBG	RP	WDT	CD	RBS	DT	VBZ	NNPS	RBR	PDT	PRP$	JJR	POS	FW	CC	PRP	JJS	WP	LS	TO	SYM	MD	EX	''	,
NN	6.75	0.76	0.20	-	0.58	0.01	0.17	-	5.81	0.11	0.22	1.23	0.00	-	0.39	-	0.01	0.03	0.00	-	0.01	-	0.00	-	0.03	0.00	0.05	0.00	-	0.01	0.00	0.00	0.02	-	-	0.00
VBZ	0.15	1.09	0.12	-	0.05	-	-	0.20	0.36	0.22	0.02	0.06	-	-	0.04	-	-	-	0.00	-	-	-	-	0.22	0.00	-	-	-	-	-	-	-	-	-	-	-
VBN	2.73	0.01	0.01	0.00	0.14	-	0.01	0.40	0.41	2.83	-	0.14	-	-	0.09	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
VB	0.23	0.00	1.50	0.01	-	0.02	0.03	0.82	0.30	0.11	0.15	0.08	-	-	0.13	-	-	0.00	-	0.00	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	1.46	0.02	0.03	0.03	0.07	2.96	-	0.54	0.54	0.01	0.14	0.02	1.55	-	0.04	0.00	0.20	0.00	-	0.42	0.04	-	0.02	-	0.00	0.06	-	0.01	-	0.00	-	-	-	0.06	-	-
DT	0.02	0.00	-	-	-	0.61	0.42	0.07	0.01	-	-	-	-	0.48	-	-	-	-	-	-	0.29	-	-	-	0.01	0.07	-	-	-	0.00	-	-	-	-	-	-
UH	0.01	-	0.00	-	0.00	-	0.03	0.03	0.03	-	0.00	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-
NNS	0.76	-	0.02	0.00	0.06	-	0.04	2.82	2.62	0.01	0.19	0.02	-	-	0.15	-	-	0.65	0.40	-	-	-	-	0.00	0.00	-	-	-	-	0.01	-	-	-	-	-	-
NNP	3.39	0.34	0.04	0.01	0.10	0.02	0.09	2.21	-	0.02	0.11	0.06	0.00	-	0.37	0.00	0.12	0.03	2.00	-	-	0.01	0.00	0.01	0.22	0.00	0.00	0.01	-	0.04	-	-	0.00	-	-	0.00
RP	0.00	-	-	-	-	0.70	0.30	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	0.01	-	-	-	-	0.42	0.00	-	0.00	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-
VBG	1.35	0.00	0.06	-	0.11	-	0.00	2.00	0.49	0.06	0.29	-	-	-	0.14	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
VBD	0.22	0.00	0.18	0.00	0.19	-	-	0.24	0.40	-	3.91	0.06	-	-	0.02	-	-	0.04	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-
VBP	0.09	0.01	-	-	1.99	0.01	0.01	0.67	0.14	0.17	0.09	0.01	0.00	-	0.00	-	-	0.01	-	-	-	-	0.00	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-
IN	0.19	-	0.00	-	0.01	-	2.37	0.00	0.06	0.00	-	0.03	1.97	0.18	-	-	0.51	-	-	-	-	-	-	-	0.07	0.04	-	-	-	0.00	0.00	0.00	-	-	-	-
JJ	-	0.16	0.09	0.02	0.26	0.14	1.41	3.04	3.33	0.11	1.97	0.41	0.05	-	0.68	-	0.02	-	-	0.00	0.13	-	0.02	-	0.02	0.00	0.01	0.01	-	0.00	0.00	-	-	-	-	-
JJS	0.07	-	-	-	-	-	0.00	0.03	0.00	-	0.00	-	-	-	-	0.16	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	1.76	0.20	0.01	-	0.36	-	0.00	0.54	0.98	-	0.07	0.05	-	-	-	-	0.00	-	-	-	0.00	-	-	-	0.00	-	0.04	-	-	0.01	-	-	-	-	-	-
JJR	0.14	-	0.00	-	0.00	-	0.02	0.01	0.04	-	0.01	-	-	-	0.01	-	-	-	-	0.74	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
CC	0.00	0.00	0.00	-	-	0.04	0.10	-	-	-	-	-	-	-	0.00	-	0.05	-	-	0.01	0.04	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.00	0.00	0.00	-	-	-	-	0.03	0.02	-	-	-	-	-	0.02	-	0.01	0.00	-	-	-	0.08	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
RBR	0.01	-	0.00	-	0.00	0.00	0.24	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.84	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-
''	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-
#	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	0.32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	0.03	-	-	-	-	-	-
FW	0.03	-	0.00	-	0.00	0.00	-	0.03	0.11	0.00	0.00	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-	-	-	-
NNPS	0.13	0.39	0.00	0.00	-	-	-	0.20	1.37	0.00	0.00	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	0.00	0.01	-	-	-	-	0.00	0.04	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.01	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	0.00	-	-	-	-	-	-	-	-	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
:	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	0.00	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	0.01	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	0.00	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	0.00	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-
$	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.00	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP$	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	-	-	-	-	-	-	0.00	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	0.00	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|POS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
