------------------------------------------
Baseline:
Word Error Rate = 10.55071671167154
Known Word WER = 8.293629758223245
Unknown Word WER = 83.89799635701274
	NNS	JJ	RB	NN	VBD	VB	UH	WDT	RBS	VBP	RBR	VBZ	POS	PDT	IN	VBG	RP	PRP	NNP	VBN	CD	EX	DT	LS	NNPS	CC	FW	PRP$	JJR	MD	JJS	WP	TO	SYM	,
NNS|NNPS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	-	-	0.04	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	-	0.00	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-
PDT	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|POS	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 10.342834592330425
Known Word WER = 8.293629758223245
Unknown Word WER = 76.93468644288316
	NNP	NNS	JJ	RB	VBN	VBD	VB	UH	WDT	RBS	NN	VBP	RBR	VBZ	POS	PDT	IN	VBG	RP	NNPS	PRP	CD	EX	DT	LS	CC	FW	PRP$	JJR	MD	JJS	WP	TO	SYM	,
NN	1.38	0.33	3.57	0.26	0.22	0.04	7.12	0.01	-	0.00	-	1.72	-	0.00	-	0.16	0.04	4.86	0.03	0.02	0.01	0.12	-	0.00	-	0.01	0.18	-	0.01	0.03	0.00	-	0.00	0.00	-
VBZ	0.01	0.74	-	-	-	-	-	-	-	-	0.45	-	-	-	1.24	-	-	-	-	0.04	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.02	0.00	0.15	-	-	2.82	0.35	-	-	-	0.78	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.72	0.06	-	1.20	1.63	0.21	0.48	0.01	-	0.02	5.18	0.05	0.15	-	-	0.86	0.10	0.85	0.06	0.47	0.00	0.01	-	0.00	0.04	0.00	0.01	-	0.02	-	0.00	-	0.00	-	-
NNP	-	0.11	1.34	0.07	0.17	0.00	0.03	0.00	-	0.01	6.95	0.02	0.00	0.00	0.00	0.00	0.02	0.12	0.02	2.42	0.01	0.04	-	0.07	0.36	0.01	0.07	0.00	0.02	0.00	0.02	-	-	-	0.00
CD	3.57	0.03	0.01	-	0.00	-	-	-	-	-	0.04	-	-	-	-	0.00	-	-	-	-	0.00	-	-	0.00	1.62	-	-	-	-	-	-	-	-	-	-
RB	0.03	0.00	0.70	-	0.00	0.00	0.08	0.54	0.01	0.00	0.15	0.00	0.42	-	-	0.10	1.12	0.00	1.83	0.00	-	0.00	0.13	0.03	0.02	0.05	-	-	0.02	-	0.01	-	-	-	-
IN	0.01	-	0.10	1.92	0.00	-	0.00	-	5.05	-	0.01	-	-	-	-	-	-	0.00	3.13	0.00	-	-	-	0.03	-	0.01	0.15	-	-	-	-	-	0.00	0.00	-
DT	0.00	-	0.01	-	-	-	-	0.68	1.15	-	-	-	-	-	-	1.44	-	-	-	-	-	-	-	-	-	0.06	0.00	-	-	-	-	-	-	-	-
JJS	0.00	-	0.00	-	-	-	-	-	-	0.50	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	0.15	-	0.01	-	0.02	-	-	-	-	-	2.25	-	-	1.45	0.00	-	-	-	-	1.22	-	0.05	-	-	-	-	0.00	-	-	-	-	-	-	-	-
VBP	0.01	-	0.04	0.00	0.03	0.00	2.29	0.00	-	-	0.44	-	-	0.00	-	-	0.02	0.00	0.00	0.00	0.00	0.00	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-
VB	0.03	0.00	0.19	0.00	0.18	0.02	-	0.00	-	0.00	1.81	3.62	0.00	-	-	-	0.06	0.00	0.01	0.00	-	0.00	-	-	-	-	-	-	0.02	-	-	-	-	-	-
JJR	0.00	-	-	0.00	-	-	-	-	-	-	0.08	-	1.51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	0.00	0.01	-	-	0.00	-	-	-	0.00	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.03	-	0.01	-	5.69	-	0.16	-	-	-	0.52	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	0.02	-	0.08	-	-	-	-	-	-	-	0.17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.01	-	-	-	-	0.00	-	0.03	-	-	-	-	-	0.09	-	-	-	-	-	-	-
CC	-	0.00	-	0.05	-	-	-	-	-	-	0.00	-	0.01	-	-	0.03	0.00	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-
RBR	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-
FW	0.01	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	0.00	-	-	0.00	0.00	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-
MD	0.01	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	0.00	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-
NNPS	0.09	0.06	0.00	-	0.00	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.02	-	-	-
NN|JJ	-	-	0.00	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	0.01	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	-	-	-	0.00	-	-	-	-	-	0.04	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
